Track URI,Track Name,Artist Name(s),Album Name,Genres,Tempo,Energy,Valence,Danceability,Duration (ms),Source
spotify:track:4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),"rock clásico,rock,glam rock",71.068,0.404,0.226,0.411,354320,Pure_Rock_&_Roll
spotify:track:1nx0EzitUaNF08xrQunABp,Rest In Peace,Dorothy,Rest In Peace,southern gothic,73.191,0.83,0.194,0.314,217327,Pure_Rock_&_Roll
spotify:track:7yFvSYKk3g5g8e7Ffl16ws,Three Little Birds,Bob Marley & The Wailers,Exodus,"reggae,roots reggae",74.128,0.49,0.627,0.826,180266,Radio_Black_or_White
spotify:track:1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam,Ten,"grunge,rock,post-grunge",75.009,0.875,0.595,0.284,340974,Rock_Classics
spotify:track:3AjSfp5FDvwtMU9XBsbS8j,Push Up - Main Edit,Creeds,Push Up (Main Edit),"techno,hipertechno,hard techno,tekno",75.023,0.83,0.187,0.767,139300,trainingpeaks_virtual
spotify:track:1LFBygPkUZyFE0U7hJDWOb,Midnight Sun - Alex Chapman Remix,Zara Larsson;Alex Chapman,Midnight Sun (Bundle),,75.385,0.914,0.456,0.581,193743,Cycling_Energy_Mix
spotify:track:5tKCXGkAsVCQW2Wce51Gs3,Old Habits (From Delta Force Game),Alan Walker;Farruko;Delta Force;Sofía Reyes,Old Habits (From Delta Force Game),"reggaetón,trap latino,pop latino",77.013,0.8,0.365,0.567,190926,This_Is_Alan_Walker
spotify:track:3q9npStSssk7sZWotiNQLK,November Rain - 2022 Version,Guns N' Roses,Use Your Illusion I (Deluxe Edition),"rock,glam metal,hard rock,rock clásico",77.972,0.797,0.199,0.252,535733,Rock_Classics
spotify:track:5Ih9gbqyxCzTJ43nuSuKnC,Dream On,Aerosmith,Aerosmith,"rock clásico,rock",78.681,0.583,0.24,0.37,267600,Rock_Classics
spotify:track:3W6bchE2NDsXdyfbhkHjjB,I Can't Hear You,The Dead Weather,Sea of Cowards,"garage rock,southern gothic,blues rock,blues modern",79.462,0.754,0.422,0.529,215093,Pure_Rock_&_Roll
spotify:track:3IyCL4Em1GOpNGDf451Hg1,Could Have Been Me,The Struts,Everybody Wants,glam rock,80.029,0.907,0.434,0.541,187653,Pure_Rock_&_Roll
spotify:track:45HAjqRWiNv6mMPw4NvZrU,Come Together,Gary Clark Jr.;Junkie XL,Come Together,"blues modern,blues rock,blues,soul blues,big beat,música incidental,banda sonora",80.04,0.788,0.505,0.447,193714,Pure_Rock_&_Roll
spotify:track:6kvoHl80mfCVTv7XnZkjQn,It Must Have Been Love - From the Film Pretty Woman,Roxette,It Must Have Been Love,pop sueco,80.61,0.652,0.722,0.52,259665,Radio_Black_or_White
spotify:track:43DeSV93pJPT4lCZaWZ6b1,The Boys Are Back In Town,Thin Lizzy,Jailbreak (Deluxe Edition),"rock clásico,hard rock",80.823,0.706,0.768,0.445,266720,Rock_Classics
spotify:track:4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,News Of The World (2011 Remaster),"rock clásico,rock,glam rock",81.308,0.497,0.475,0.692,122066,Pure_Rock_&_Roll
spotify:track:7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),rock alternativo,81.334,0.441,0.25,0.519,234973,Rock_Classics
