Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zB4vmk8tFRmM9UULNzbLB,"Thunder","Evolve","Imagine Dragons",2017-06-23,187146,86,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
spotify:track:0QjpQP1w7apeMXzioL8sqN,"The Nights","Stories","Avicii",2015-10-02,176658,62,false,,1970-01-01T00:00:00Z,"edm","Pophouse Entertainment Group",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
spotify:track:4tXR895KKljrC2VptgyEhJ,"La Gota Fria","Clasicos de la Provincia","Carlos Vives",1994-02-22,215493,69,false,,1970-01-01T00:00:00Z,"tropipop,vallenato,pop latino,latina","Write Bright LLC",0.718,0.809,1,-10.201,1,0.0511,0.0893,0,0.183,0.964,100.848,4
spotify:track:1OBAPPxgujYUVYerorsg90,"You're The One That I Want (Remastered 2022)","Olivia's Greatest Hits (Vol. 2 / Deluxe Edition / Remastered)","Olivia Newton-John;John Travolta",2023-01-06,170485,73,false,,1970-01-01T00:00:00Z,"musicales","Olivia Newton-John",0.742,0.791,0,-5.058,1,0.0961,0.219,0.0000156,0.131,0.822,106.532,4
spotify:track:5nEdwtSv0qqeE0l4o1lR4q,"(When You Gonna) Give It Up to Me - Radio Version","(When You Gonna) Give It Up to Me","Sean Paul;Keyshia Cole",2006-09-30,243880,92,false,,1970-01-01T00:00:00Z,"dancehall,r&b","VP Records",0.711,0.761,8,-3.04,1,0.225,0.067,0,0.041,0.718,95.824,4
spotify:track:6FgCQ6wYJrjnldcuXHyXQd,"The Power Of Love x I'm Alive","The Power Of Love x I'm Alive","LABACK;Laura Furmanova",2025-03-17,167758,66,false,,1970-01-01T00:00:00Z,"","Laback",0.659,0.926,5,-4.06,1,0.0331,0.00477,0.0113,0.137,0.642,122.002,4
spotify:track:4uUG5RXrOk84mYEfFvj3cK,"I'm Good (Blue)","I'm Good (Blue)","David Guetta;Bebe Rexha",2022-08-26,175238,87,true,,1970-01-01T00:00:00Z,"edm","Parlophone UK",0.561,0.965,7,-3.673,0,0.0343,0.00383,0.00000707,0.371,0.304,128.04,4
spotify:track:1EytZ5aKjaGDsk8ujrFWoV,"Three Little Birds","Three Little Birds","Timmy Trumpet;Prezioso;71 Digits",2022-09-02,156630,58,false,,1970-01-01T00:00:00Z,"melbourne bounce,big room,italo dance,slap house","Spinnin' Records",0.478,0.787,9,-5.196,1,0.113,0.00508,0.00244,0.0522,0.383,103.563,3
spotify:track:1nXTM2CVdaoCySSD5kgt3J,"Sweat (A La La La La Long)","Sweat (A La La La La Long)","Inner Circle",1992-06-02,229000,78,false,,1970-01-01T00:00:00Z,"reggae,roots reggae","DubShot Records/Sound Bwoy Ent",0.786,0.803,0,-6.59,1,0.205,0.0294,0,0.224,0.949,173.029,4
spotify:track:5oTqyRhWdpD7q4PYkLlUQD,"Always Remember Us This Way","Always Remember Us This Way","DJ Tons",2021-09-06,234981,63,false,,1970-01-01T00:00:00Z,"","DJ Tons",0.734,0.98,7,-4.264,1,0.0421,0.123,0.0809,0.0666,0.979,135.011,4
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,"I WANNA BE YOUR SLAVE","Teatro d'ira - Vol. I","Måneskin",2021-03-19,173346,86,true,,1970-01-01T00:00:00Z,"","RCA Records Label",0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,4
spotify:track:3wuCCNCnBhJlwkIJTBZFiv,"They Don't Care About Us","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,284310,85,false,,1970-01-01T00:00:00Z,"","Epic",0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4
spotify:track:6HjtZWIo0bh0KLD8Tq4ujR,"DotA - Radio Edit","LOL (2008 yellow bonus version/no videos_France)","Basshunter",2006,200560,67,false,,1970-01-01T00:00:00Z,"eurodance,europop","WM Sweden",0.46,0.962,0,-6.447,1,0.112,0.0084,0.00199,0.186,0.532,140.047,4
spotify:track:3zNNXjjjeLrzIXSJZKalDi,"I Follow Rivers - The Magician Remix","Wounded Rhymes (Anniversary Edition)","Lykke Li;The Magician",2021-07-16,279635,78,false,,1970-01-01T00:00:00Z,"","WM UK",0.785,0.7,9,-5.81,0,0.0406,0.0179,0.00251,0.0823,0.296,122.031,4
spotify:track:0Gp23ds4JDUwan98IfNNL5,"Bittersweet Symphony","REVIVE","GAMPER & DADONI;Emily Roberts",2024-11-22,194618,71,false,,1970-01-01T00:00:00Z,"tropical house","Big Top Amsterdam",0.676,0.582,9,-7.58,1,0.128,0.221,0.00628,0.515,0.447,124.012,4
