Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,86,false,,2026-01-16T06:00:20Z,"rock,hard rock,rock clásico,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:0ntQJM78wzOLVeCUAW7Y45,"Sex on Fire","Only By The Night","Kings of Leon",2008-09-23,203346,89,false,,2026-01-16T06:00:20Z,"","RCA/Legacy",0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
spotify:track:0f8GPONRZHrP6mOrxswCfW,"Vidas Felices","Vidas Felices","Chetes",2026-01-15,234933,37,false,,2026-01-16T06:00:20Z,"indie mexicano,rock en español,rock mexicano,música alternativa latina,indie latino","Chetes",0.541,0.893,8,-8.445,1,0.0534,0.000642,0.246,0.0557,0.568,165.958,4
spotify:track:1FTSo4v6BOZH9QxKc3MbVM,"Song 2 - 2012 Remaster","Blur (Special Edition)","Blur",1997-02-10,121160,84,false,,2026-01-16T06:00:20Z,"britpop,madchester,rock alternativo","Parlophone UK",0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,85,false,,2026-01-16T06:00:20Z,"rock progresivo,rock psicodélico,rock clásico,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
spotify:track:6qClwrPBURJc3o3RuM4iln,"Therapy II","viagr aboys (Japanese Deluxe Edition)","Viagra Boys",2026-01-09,159390,52,false,,2026-01-16T06:00:20Z,"post-punk,egg punk","Shrimptech Enterprises",0.506,0.803,1,-5.696,0,0.0572,0.00222,0.57,0.0738,0.688,175.141,4
spotify:track:7N3PAbqfTjSEU1edb2tY8j,"Jump - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,241599,81,false,,2026-01-16T06:00:20Z,"glam metal,rock clásico,rock,hard rock","Rhino/Warner Records",0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,4
spotify:track:2KH16WveTQWT6KOG9Rg6e2,"Eye of the Tiger","Rocky IV","Survivor",1985,245640,79,false,,2026-01-16T06:00:20Z,"","Volcano/Legacy",0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,4
spotify:track:76VKsZAL0YhWMNcOnwh0iv,"Michael Scott Hubiera Entendido Exactamente Cómo Me Siento En Este Momento","Michael Scott Hubiera Entendido Exactamente Cómo Me Siento En Este Momento","San Venus",2025-05-26,190000,38,false,,2026-01-16T06:00:20Z,"","Cobra Music",0.626,0.852,9,-6.237,1,0.0472,0.00142,0,0.288,0.718,104.992,4
spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,"T.N.T.","High Voltage","AC/DC",1976-05-14,215096,82,false,,2026-01-16T06:00:20Z,"rock,hard rock,rock clásico,rock and roll","Columbia",0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,4
spotify:track:2m1hi0nfMR9vdGC8UcrnwU,"All The Small Things","Enema Of The State","blink-182",1999-06-01,167066,86,false,,2026-01-16T06:00:20Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.685,148.708,4
spotify:track:1zB4vmk8tFRmM9UULNzbLB,"Thunder","Evolve","Imagine Dragons",2017-06-23,187146,87,false,,2026-01-16T06:00:20Z,"","Kid Ina Korner / Interscope",0.604,0.822,0,-4.833,1,0.0438,0.00672,0.134,0.147,0.288,167.997,4
spotify:track:5CQ30WqJwcep0pYcV4AMNc,"Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,84,false,,2026-01-16T06:00:20Z,"rock clásico,rock,hard rock,rock and roll","Atlantic Records",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
spotify:track:37ZJ0p5Jm13JPevGcx4SkF,"Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-08-16,249293,84,false,,2026-01-16T06:00:20Z,"glam metal","Island Records",0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000206,0.294,0.794,122.509,4
spotify:track:7snQQk1zcKl8gZ92AnueZW,"Sweet Child O' Mine","Appetite For Destruction","Guns N' Roses",1987-07-21,356066,91,false,,2026-01-16T06:00:20Z,"rock,glam metal,hard rock,rock clásico","Guns N Roses P&D",0.445,0.952,6,-5.321,1,0.0522,0.09,0.0843,0.112,0.624,125.304,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,87,false,,2026-01-16T06:00:20Z,"garage rock,blues rock,rock,rock alternativo","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:7ACxUo21jtTHzy7ZEV56vU,"Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,83,false,,2026-01-16T06:00:20Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell","Highway to Hell","AC/DC",1979-07-27,208110,89,false,,2026-01-16T06:00:20Z,"rock,hard rock,rock clásico,rock and roll","Columbia",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
spotify:track:3DwQ7AH3xGD9h65ezslm6q,"Enter Sandman - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,331560,86,false,,2026-01-16T06:00:20Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,4
spotify:track:6eN1f9KNmiWEhpE2RhQqB5,"Paradise City","Appetite For Destruction","Guns N' Roses",1987-07-21,405600,85,false,,2026-01-16T06:00:20Z,"rock,glam metal,hard rock,rock clásico","Guns N Roses P&D",0.268,0.98,11,-5.959,1,0.101,0.019,0.00692,0.182,0.39,100.316,4
spotify:track:4VqPOruhp5EdPBeR92t6lQ,"Uprising","The Resistance","Muse",2009-09-10,304840,81,false,,2026-01-16T06:00:20Z,"rock alternativo,rock","Warner Records",0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,4
spotify:track:39shmbIHICJ2Wxnk1fPSdz,"Should I Stay or Should I Go - Remastered","Combat Rock (Remastered)","The Clash",1982,188987,84,false,,2026-01-16T06:00:20Z,"punk","Sony Music UK",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,4
