Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39yTMy0EAS5ufZaIC6ebJO,"Unstoppable - R3HAB Remix","This Is Acting (10th Anniversary Edition)","Sia;R3HAB",2026-01-29,162352,50,false,,2026-04-25T07:51:01Z,"slap house,edm","RCA/Legacy",0.678,0.753,6,-4.108,0,0.233,0.494,0.0000146,0.0604,0.454,101.893,4
spotify:track:5KkSRdbyIT2JbWPUxiaFXe,"911","911","R3HAB;Timmy Trumpet",2020-05-01,128695,47,false,,2026-04-25T07:51:01Z,"slap house,edm,melbourne bounce,big room","Intercord",0.451,0.786,11,-8.22,0,0.0617,0.0661,0.0332,0.0663,0.137,103.562,3
spotify:track:1dt220OBbkTsYz1NLVKIaw,"Call Me (with R3HAB, Timmy Trumpet & Charla K)","Call Me (with R3HAB, Timmy Trumpet & Charla K)","Gabry Ponte;R3HAB;Timmy Trumpet;Charla K",2022-01-14,178309,63,false,,2026-04-25T07:51:01Z,"italo dance,slap house,edm,melbourne bounce,big room","Spinnin' Records",0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,4
spotify:track:2Ulk7ty4IBIrfrPs0LS4Zj,"SNAP - Luca Schreiner Remix","SNAP PACK","Rosa Linn;Luca Schreiner",2022-09-30,148023,57,false,,2026-04-25T07:51:01Z,"","Nvak Collective",0.631,0.842,0,-4.022,1,0.0674,0.0495,0.0000225,0.284,0.332,112.896,4
spotify:track:5KbhvaeqKIB2bZcJMyfezl,"Hold Me Closer - Joel Corry Remix","Hold Me Closer (Joel Corry Remix)","Elton John;Britney Spears;Joel Corry",2022-10-07,248594,51,false,,2026-04-25T07:51:01Z,"pop,dance pop","EMI",0.641,0.896,0,-5.45,1,0.0402,0.0124,0.0000646,0.236,0.124,125.992,4
spotify:track:1zgV7obuDgU0DEaNCmPw8u,"Sunshine - MOTi Remix","Sunshine. The EP","OneRepublic;MOTi",2021-12-31,188825,45,false,,2026-04-25T07:51:01Z,"pop suave,big room,future house,edm","Mosley Music/Interscope Records",0.727,0.77,5,-5.915,1,0.0419,0.0764,0.00000538,0.155,0.542,125.99,4
spotify:track:1srwcquKZtXnQzyoWYJRwZ,"Booty Bounce - Radio Edit","Booty Bounce (Radio Edit)","Tujamo",2015-04-17,199687,58,false,,2026-04-25T07:51:01Z,"","CITY STARS RECORDS",0.656,0.987,0,-2.26,1,0.0353,0.0222,0.384,0.0629,0.555,128.003,4
spotify:track:1qm9MfTAoEixNPSqshHqfV,"Toca (feat. Timmy Trumpet & KSHMR)","Papi Gordo","Carnage;Timmy Trumpet;KSHMR",2015-10-30,223000,52,false,,2026-04-25T07:51:01Z,"melbourne bounce,big room,edm,slap house,electrónica","Ultra Records, LLC",0.851,0.462,2,-5.463,1,0.163,0.00569,0.816,0.0446,0.185,128.032,4
spotify:track:1lpgyKW9jJSUl4QMFcADHa,"Left Right","Left Right","Hardwell;Deorro;MAKJ;Fatman Scoop",2019-10-18,155827,38,false,,2026-04-25T07:51:01Z,"big room,edm,house progresivo,electrónica,melbourne bounce,electro house","Revealed Recordings",0.708,0.983,10,-3.779,0,0.064,0.000385,0.391,0.285,0.219,128.001,4
spotify:track:5JZMjnhb3rcAJXn9L1xTIU,"Changes - Timmy Trumpet Remix","Changes (Timmy Trumpet Remix)","Faul & Wad;PNAU;Timmy Trumpet",2021-08-20,146250,42,false,,2026-04-25T07:51:01Z,"afro house,tropical house,melbourne bounce,big room","TONSPIEL Recordings",0.836,0.566,8,-5.15,1,0.0637,0.0323,0.000867,0.233,0.152,127.988,4
