Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7zeA0H3xPqjtft7PWjH5ot,"Sad Girls","Sad Girls","Bebe Rexha;David Guetta",2026-05-29,168771,41,false,,2026-05-29T04:01:29Z,"edm","Bebe Rexha Music LLC / EMPIRE",0.589,0.771,2,-4.464,0,0.0417,0.0306,0,0.131,0.464,127.952,4
spotify:track:67eYAnkdTu8BMcIx29z26L,"Makeba - Ian Asher Remix","Makeba (Ian Asher Remix)","Jain;Ian Asher",2023-01-13,125178,72,false,,2026-05-29T04:01:29Z,"pop francés","Columbia",0.651,0.937,7,-4.078,1,0.0468,0.236,0.0975,0.119,0.666,123.993,4
spotify:track:2aSjWonALEwE3wTpjYMvc7,"There She Goes","There She Goes","CYRIL;MOONLGHT;The La's",2025-05-16,121874,75,false,,2026-05-29T04:01:29Z,"britpop,jangle pop","Spinnin' Records",0.806,0.89,7,-5.346,1,0.0678,0.00291,0.000718,0.0996,0.321,127.953,4
spotify:track:52WUqlqnxa0JVcSOCTzbn1,"Sunshine (My Girl)","Sunshine (My Girl)","Wuki",2023-09-01,131250,70,false,,2026-05-29T04:01:29Z,"","Thrive Music",0.871,0.765,0,-4.602,1,0.116,0.00742,0.000196,0.0953,0.596,128.087,4
spotify:track:3XJQz97R6A7bXn8awvFknM,"Together","Together","David Guetta;Hypaton;Bonnie Tyler",2025-07-04,153750,72,false,,2026-05-29T04:01:29Z,"edm","Atlantic Records UK",0.465,0.86,8,-4.302,1,0.049,0.0226,0.0000219,0.277,0.102,128.096,4
spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike;Tiësto;Dido;W&W;Dimitri Vegas;Like Mike",2023-12-01,140000,84,false,,2026-05-29T04:01:29Z,"big room,electrónica,edm,trance","Ministry of Sound Recordings",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
spotify:track:2OnSedqUAqhCLZhCR4gjMw,"Music is Better","Music is Better","RÜFÜS DU SOL",2024-06-21,236080,61,false,,2026-05-29T04:01:29Z,"","Rose Avenue/Reprise",0.6,0.786,4,-6.392,0,0.0329,0.00394,0.0533,0.674,0.379,121.97,4
spotify:track:7leW1Dmvs9A4oDh9i5Qwpz,"These Words","These Words","Badger;Natasha Bedingfield",2024-04-05,136580,73,false,,2026-05-29T04:01:29Z,"bassline,uk garage","Sony Music UK",0.595,0.989,5,-2.695,1,0.0736,0.017,0,0.321,0.223,129.989,4
spotify:track:2OP7UAuQF1OJbjeYXa5fhm,"Silence - John Summit Remix","Silence (John Summit Remix)","Delerium;Sarah McLachlan;John Summit",2025-05-14,274736,73,false,,2026-05-29T04:01:29Z,"trance,house,tech house","Tomorrowland Music",0.484,0.888,7,-4.361,1,0.0575,0.00153,0.0000865,0.436,0.0556,133.032,4
spotify:track:6NIJqFHB5cHAn064JCP7Li,"Move","Move","Adam Port;Stryv;Keinemusik;Orso;Malachiii",2024-06-07,177598,78,false,,2026-05-29T04:01:29Z,"afro house,house,house melódico,afro tech","Keinemusik",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
