Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3PxiafBSKLwqkDyc29n3U9,"Pump Up The Jam (Single Version)","Pump Up The Jam","D.O.N.S.;Technotronic",1998-07-06,202506,26,false,smooth28la,2023-09-12T03:30:07Z,"eurodance,hip house,dance","KONTOR RECORDS",0.813,0.829,0,-8.113,1,0.0442,0.00793,0.000189,0.105,0.595,134.023,4
spotify:track:0lpIVCLNQRBKffcRRNrHyh,"Freeway Of Love","Who's Zoomin' Who? (Expanded Edition)","Aretha Franklin",1985,352093,48,false,smooth28la,2021-06-26T17:50:38Z,"soul,motown,soul clásico","RCA Records Label",0.688,0.899,2,-6.328,1,0.0734,0.242,0.00000555,0.0223,0.833,126.509,4
spotify:track:5MgyL6IUDGLUhiLhWa9MqX,"Nothin' Better To Do - Soul Seekerz Remix","Dance Like You Don't Give A....Greatest Remixes","LeAnn Rimes;Soul Seekerz",2014-08-05,195399,8,false,smooth28la,2021-04-30T17:27:56Z,"funky house","Curb Records",0.578,0.971,5,-2.676,0,0.18,0.00441,0.0000226,0.294,0.433,128.035,4
spotify:track:1qp0ptMXNg9hqLH8sk7cc2,"Sweet Lovin' - Radio Edit","Brighter Days","Sigala;Bryn Christopher",2018-09-28,201637,66,false,smooth28la,2022-03-05T07:34:25Z,"","Ministry of Sound Recordings",0.68,0.85,10,-2.785,1,0.0661,0.207,0.00000198,0.339,0.71,124.942,4
spotify:track:6QypjtLLKmIyLZqnOli07s,"Boom Boom","Boom Boom","Paul Lekakis",1982-09-16,416426,45,false,smooth28la,2021-03-23T09:49:34Z,"hi-nrg,disco italiana","Baby Records International",0.77,0.831,9,-7.68,1,0.0458,0.00317,0.0675,0.0857,0.94,129.534,4
spotify:track:7gozgbG5EBTukCFWToTRA5,"I Still Haven't Found What I'm Looking For - Remastered 2007","The Joshua Tree (Deluxe Edition Remastered)","U2",1987-03-10,277480,2,false,smooth28la,2017-11-02T06:35:31Z,"rock","Universal Music Group",0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,4
spotify:track:6Wtc1K3dvTIEsWU3rSIZXn,"Feel So Close - Radio Edit","Feel So Close","Calvin Harris",2011-08-19,207880,59,false,smooth28la,2017-09-14T21:48:35Z,"edm","Columbia",0.7,0.923,7,-2.85,1,0.0324,0.000927,0.00826,0.0966,0.904,127.952,4
spotify:track:0pSmK2wWfdjEQzy3ElNyFe,"You're a Superstar - City of Love Radio Mix","You're a Superstar","Love Inc.;Simone Denny",1998,243773,38,false,smooth28la,2021-07-02T07:05:32Z,"","ViK. recordings",0.733,0.807,1,-10.085,1,0.0319,0.364,0.0259,0.0745,0.743,135.001,4
spotify:track:4kOfxxnW1ukZdsNbCKY9br,"What's Love Got to Do with It","What's Love Got to Do with It?","Tina Turner",1993,226880,70,false,smooth28la,2019-07-14T07:51:28Z,"","Parlophone UK",0.851,0.406,1,-11.631,1,0.0661,0.219,0.00000641,0.0853,0.792,97.84,4
spotify:track:1dOXmR1VsGmkM9c72ka0je,"Bedtime Story","Bedtime Stories","Madonna",1994-10-25,292906,50,false,smooth28la,2017-09-14T18:46:05Z,"","Sire/Warner Records",0.712,0.612,0,-12.74,1,0.0441,0.831,0.441,0.118,0.526,112.028,4
