Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Qn5zhYkTa37e91HC1D7lb,"Whatever It Takes","Evolve","Imagine Dragons",2017-06-23,201240,84,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","Kid Ina Korner / Interscope",0.672,0.655,10,-5.021,0,0.031,0.0362,0,0.117,0.555,134.948,4
spotify:track:6FE2iI43OZnszFLuLtvvmg,"Classic","MKTO","MKTO",2012,175426,81,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","Columbia/M2V",0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,4
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,86,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","RCA Records Label",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
spotify:track:6RUKPb4LETWmmr3iAEQktW,"Something Just Like This","Memories...Do Not Open","The Chainsmokers;Coldplay",2017-04-07,247160,89,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","Disruptor Records/Columbia",0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
spotify:track:2YpeDb67231RjR0MgVLzsG,"Old Town Road (feat. Billy Ray Cyrus) - Remix","7","Lil Nas X;Billy Ray Cyrus",2019-06-21,157066,79,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","Columbia",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
spotify:track:7arVdGO77U6u0E0sNxoP1a,"Try Everything - De ""Zootrópolis""","Try Everything (De ""Zootrópolis"")","Shakira",2016-02-05,196706,55,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"pop latino","Walt Disney Records",0.704,0.598,1,-4.922,1,0.0309,0.0283,0,0.106,0.472,115.483,4
spotify:track:0afhq8XCExXpqazXczTSve,"Galway Girl","÷ (Deluxe)","Ed Sheeran",2017-03-03,170826,82,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"pop suave","Atlantic Records UK",0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4
spotify:track:0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve","Imagine Dragons",2017-06-23,204346,88,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"","Kid Ina Korner / Interscope",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
spotify:track:1yzBGun3xDY7WpHOIP9nNp,"Never Let Me Go","Never Let Me Go","Alok;Bruno Martini;Zeeba",2017-05-05,184070,65,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"graves brasileños,electrónica,slap house,electro house,pop brasileño","Universal Music Ltda.",0.726,0.835,0,-3.914,1,0.0341,0.041,0.00000945,0.068,0.579,123.986,4
spotify:track:1rqqCSm0Qe4I9rUvWncaom,"High Hopes","Pray for the Wicked","Panic! At The Disco",2018-06-22,190946,84,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"emo","DCD2 / Fueled By Ramen",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
spotify:track:7pYfyrMNPn3wtoCyqcTVoI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","Hands All Over (Revised International Standard version)","Maroon 5;Christina Aguilera",2010,201493,84,false,21ccj5pxwazjl6lctb5kboswq,2023-03-25T20:59:30Z,"pop","Interscope Records*",0.722,0.761,11,-4.46,0,0.0475,0.0119,0,0.315,0.624,128.046,4
