Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,91,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:30:55Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:7qiZfU4dY1lWllzX7mPBI3,"Shape of You","÷ (Deluxe)","Ed Sheeran",2017-03-03,233712,91,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:30:58Z,"pop suave","Atlantic Records UK",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd;Daft Punk",2016-11-25,230453,92,true,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:47Z,"house francés,electrónica,electro","The Weeknd/Lyric",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,88,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:05Z,"pop suave","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
spotify:track:4Dvkj6JhhA12EX05fT7y2e,"As It Was","Harry's House","Harry Styles",2022-05-20,167303,93,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:33:30Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,94,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:32:46Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:3KkXRkHbMCARz0aVfEt68P,"Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Post Malone;Swae Lee",2018-12-14,158040,85,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:11Z,"","Universal Records",0.76,0.478,2,-5.574,1,0.0467,0.552,0,0.0703,0.913,89.908,4
spotify:track:12VWzyPDBCc8fqeWCAfNwR,"One Dance","Views","Drake;Wizkid;Kyla",2016-05-13,173986,2,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:14Z,"rap,afrobeats,afrobeat,afropop,azonto,afroswing,r&b afro,afropiano","Cash Money Records/Young Money Ent./Universal Rec.",0.792,0.625,1,-5.609,1,0.0536,0.00776,0.00188,0.329,0.37,103.967,4
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"STAY (with Justin Bieber)","F*CK LOVE 3: OVER YOU","The Kid LAROI;Justin Bieber",2021-07-23,141805,10,true,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:22Z,"","Columbia",0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,4
spotify:track:0tgVpDi06FyKpA1z0VMD4v,"Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,90,false,h6klaqlgtmxz3wc7pxj25z3zd,2023-01-16T23:31:27Z,"pop suave","Atlantic Records UK",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
