Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0upLyFR8Rr52ZpMp5esQoq,"You Really Got Me - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,156146,70,false,,2026-04-29T11:42:18Z,"glam metal,rock clásico,rock,hard rock","Rhino/Warner Records",0.454,0.946,1,-5.978,0,0.13,0.0223,0,0.173,0.647,138.18,4
spotify:track:2GYHyAoLWpkxLVa4oYTVko,"Alors on danse - Radio Edit","Cheese","Stromae",2010-01-01,206066,82,false,,2026-04-20T11:33:21Z,"pop francés","Universal Music Distributed Labels",0.79,0.593,1,-9.204,0,0.0776,0.0983,0.00202,0.065,0.72,119.958,4
spotify:track:44DCjBHfvn5s6ZfLHpKmBi,"Freaks","Freaks","Timmy Trumpet;Savage",2014-07-31,168750,78,false,,2026-03-30T12:37:01Z,"melbourne bounce,big room","Hussle Recordings",0.886,0.967,4,-0.776,1,0.142,0.0157,0.389,0.239,0.745,128.1,4
spotify:track:0WSjVLITbxV6kVXndziQDm,"Drop That Low (When I Dip)","Drop That Low (When I Dip)","Tujamo",2016-04-01,159999,67,false,,2026-03-30T12:28:13Z,"","Spinnin' Records",0.586,0.896,5,-4.132,0,0.372,0.00945,0.836,0.121,0.103,125.744,4
spotify:track:762B4bOcXF7I2Y8UlKTyTy,"Chiquitita","Voulez-Vous","ABBA",1979,326320,78,false,,2026-03-07T10:07:29Z,"","Polar Music International AB",0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,4
spotify:track:51FvjPEGKq2zByeeEQ43V9,"El Merengue","El Merengue","Marshmello;Manuel Turizo",2023-03-03,189668,75,false,,2026-02-19T12:50:26Z,"edm,reggaetón,tropipop,latina,pop urbano","Sony Music Latin",0.778,0.772,8,-3.079,0,0.0556,0.0929,0.000552,0.0883,0.661,123.982,4
spotify:track:4OIJAOZkj6ChEvSIzUKDmQ,"Viento","Viento","Gabry Ponte;Vicco",2024-06-14,140867,62,false,,2026-02-19T12:43:12Z,"italo dance,slap house","Warner Music Central Europe",0.499,0.907,10,-4.73,1,0.0932,0.00993,0.000601,0.173,0.338,198.08,3
spotify:track:2PTvik6EqPAIYOclAB3SU8,"All I Ever Wanted - Radio Edit","Now You're Gone - The Album","Basshunter",2008-01-15,176453,73,false,,2026-01-11T18:57:02Z,"eurodance,europop","WM Sweden",0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
spotify:track:6HjtZWIo0bh0KLD8Tq4ujR,"DotA - Radio Edit","LOL (2008 yellow bonus version/no videos_France)","Basshunter",2006,200560,67,false,,2026-01-11T18:22:09Z,"eurodance,europop","WM Sweden",0.46,0.962,0,-6.447,1,0.112,0.0084,0.00199,0.186,0.532,140.047,4
spotify:track:2iJuuzV8P9Yz0VSurttIV5,"Scream & Shout","#willpower","will.i.am;Britney Spears",2013-01-01,283400,83,true,,2025-11-18T20:05:16Z,"pop","Interscope",0.772,0.685,5,-6.849,1,0.0696,0.019,0.0000896,0.131,0.501,130.039,4
spotify:track:3AjSfp5FDvwtMU9XBsbS8j,"Push Up - Main Edit","Push Up (Main Edit)","Creeds",2023-03-31,139300,77,false,,2025-11-06T13:01:54Z,"techno,hipertechno,hard techno,tekno","Columbia/B1 Recordings",0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,4
spotify:track:1QIAkKPzJ1OUg3YuSRoTdt,"So What","So What","Nic Johnston;ANLIL",2025-02-28,170495,61,false,,2025-10-23T12:54:25Z,"hipertechno,techno","Future House Cloud",0.537,0.906,9,-0.883,1,0.197,0.00797,0.0000127,0.139,0.386,154.943,4
spotify:track:4oaZRvZMytQvISa6A0ZKx0,"Gladiator x Now We Are Free - Summer Version","Gladiator x Now We Are Free (Summer Version)","LABACK;Alexis Carlier",2024-05-10,219375,67,false,,2025-10-03T07:15:33Z,"","3023473 Records DK2",0.777,0.85,6,-5.662,0,0.0356,0.16,0.000965,0.0566,0.0744,128.036,4
