Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3rmo8F54jFF8OgYsqTxm5d,"Bad Habits","=","Ed Sheeran",2021-10-25,230746,84,false,11155906442,2022-05-12T22:58:04Z,"pop suave","Atlantic Records UK",0.807,0.893,11,-3.745,0,0.0347,0.0451,0.0000279,0.366,0.537,126.011,4
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,90,false,11155906442,2022-05-12T22:56:23Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
spotify:track:4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,13,false,11155906442,2023-01-22T11:55:07Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:003vvx7Niy0yvhvHt4a68B,"Mr. Brightside","Hot Fuss","The Killers",2004,222973,93,false,11155906442,2022-05-12T22:44:22Z,"rock alternativo","Island Records",0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
spotify:track:21qnJAMtzC6S5SESuqQLEK,"Pump Up The Jam","Pump Up The Jam","Technotronic",1989-11-28,320306,76,false,11155906442,2022-05-12T19:44:57Z,"eurodance,hip house,dance","Universal Music S.A.",0.885,0.844,10,-9.225,0,0.0733,0.0147,0.00000449,0.0494,0.715,124.602,4
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson;Bruno Mars",2015-01-12,269658,87,false,11155906442,2022-05-12T22:43:39Z,"","Columbia",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
spotify:track:5A1FmxbYVRZKy4nc16MAue,"Sex on Fire","Only By The Night","Kings of Leon",2008-09-23,203346,74,false,11155906442,2022-05-12T22:17:14Z,"","RCA Records Label",0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,292875,85,false,11155906442,2022-05-12T19:22:28Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
spotify:track:0GONea6G2XdnHWjNZd6zt3,"Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,85,false,11155906442,2022-05-12T19:26:40Z,"","A&M",0.509,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.13,4
spotify:track:59ZTxQo8rBycIXPLUIKvE2,"Dirrty (feat. Redman)","Stripped","Christina Aguilera;Redman",2002-07-19,298853,69,false,11155906442,2022-05-12T22:27:44Z,"hip hop de la costa este,hip hop old school,hip hop,hardcore hip hop","RCA Records Label",0.64,0.889,2,-3.073,1,0.322,0.107,0,0.339,0.436,99.931,4
spotify:track:6aJ90LBl96bly9zuEH1U2X,"This Is How We Do It","Best Of Montell Jordan","Montell Jordan",2015-09-25,237546,68,false,11155906442,2022-05-12T22:07:23Z,"new jack swing","Def Soul",0.791,0.702,1,-7.333,1,0.0625,0.0176,0,0.423,0.788,103.646,4
