Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:52LJ3hyknOijCrE5gCD0rE,"L'Amour Toujours","L'Amour Toujours","Gigi D'Agostino",2001-05-23,242053,79,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","ZYX Music",0.638,0.877,7,-4.449,1,0.0302,0.0771,0.0221,0.364,0.743,139.052,4
spotify:track:5XVjNRubJUW0iPhhSWpLCj,"Better Off Alone","Who Needs Guitars Anyway?","Alice Deejay",2000-10-01,214883,82,false,,1970-01-01T00:00:00Z,"eurodance,europop","Universal Music, a division of Universal International Music BV",0.671,0.882,8,-6.149,0,0.0552,0.00181,0.667,0.285,0.787,136.955,4
spotify:track:31nfdEooLEq7dn3UMcIeB5,"Vois sur ton chemin - Techno Mix","Vois sur ton chemin (Techno Mix)","BENNETT",2023-08-04,178156,80,false,,1970-01-01T00:00:00Z,"hipertechno,techno","Warner Music Central Europe",0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Thank You (Not So Bad)","Thank You (Not So Bad)","Dimitri Vegas & Like Mike;Tiësto;Dido;W&W;Dimitri Vegas;Like Mike",2023-12-01,140000,84,false,,1970-01-01T00:00:00Z,"big room,electrónica,edm,trance,house","Ministry of Sound Recordings",0.673,0.95,11,-5.149,1,0.0488,0.0229,0.0823,0.398,0.563,150.019,4
spotify:track:6kWJvPfC4DgUpRsXKNa9z9,"All That She Wants","The Sign","Ace of Base",1993-12-24,211213,83,false,,1970-01-01T00:00:00Z,"eurodance,europop","Playground Music",0.798,0.625,11,-9.689,1,0.0548,0.00547,0.0000798,0.103,0.858,93.764,4
spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,"Rasputin","Rasputin","Majestic;Boney M.",2021-02-26,186209,82,false,,1970-01-01T00:00:00Z,"disco","NITRON music",0.758,0.913,6,-2.926,0,0.113,0.00364,0.0000692,0.193,0.658,128.04,4
spotify:track:44DCjBHfvn5s6ZfLHpKmBi,"Freaks","Freaks","Timmy Trumpet;Savage",2014-07-31,168750,78,false,,1970-01-01T00:00:00Z,"melbourne bounce,big room","Hussle Recordings",0.886,0.967,4,-0.776,1,0.142,0.0157,0.389,0.239,0.745,128.1,4
spotify:track:2goLsvvODILDzeeiT4dAoR,"Believe","Believe","Cher",1998,239026,83,false,,1970-01-01T00:00:00Z,"","Warner Records",0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,4
spotify:track:3YB6nCSuFqNiqOvPtAPK9X,"Be My Lover","Sweet Dreams","La Bouche",1995-03-11,241133,78,false,,1970-01-01T00:00:00Z,"eurodance,europop","MCI",0.673,0.841,1,-10.171,0,0.0304,0.00307,0.0000126,0.952,0.809,134.804,4
spotify:track:0OTO8ZF2YqFQVw9hnZylTd,"What Is Love - 7"" Mix","The Album","Haddaway",1993-09-13,270373,85,false,,1970-01-01T00:00:00Z,"eurodance","BMG Rights Management GmbH",0.683,0.772,7,-7.907,0,0.031,0.0222,0.0156,0.203,0.738,123.869,4
spotify:track:1XdMp6v9Q3N80WnKSbGfl4,"Hollywood","Hollywood","LA Vision;Gigi D'Agostino",2020-05-29,199655,59,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","Polydor",0.744,0.793,7,-6.02,0,0.0291,0.00851,0.000231,0.363,0.325,116,4
spotify:track:2X7jfQnEMQYYmvkhr6mzS9,"Brother Louie Mix '98 (feat. Eric Singleton) - Radio Edit","Back For Good/2nd","Modern Talking;Eric Singleton",1998-05-11,204306,76,false,,1970-01-01T00:00:00Z,"europop,disco italiana,eurodance,tropical house","Hansa Local",0.769,0.971,2,-3.78,0,0.0432,0.0173,0.0892,0.314,0.969,118.135,4
spotify:track:0ZqveF2rEFlz2oqF2xrriP,"The Riddle","L'Amour Toujours","Gigi D'Agostino",1999,285426,69,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","ZYX Music",0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,4
spotify:track:3wLPRjw2XQpmowqXUXb3UF,"Get Up (Rattle) [feat. Far East Movement] - Vocal Edit","Get Up (Rattle) [feat. Far East Movement]","Bingo Players;Far East Movement",2012-12-08,166932,74,false,,1970-01-01T00:00:00Z,"big room","Spinnin' Records",0.801,0.985,7,-2.69,1,0.0647,0.0205,0.00000686,0.297,0.72,127.99,4
spotify:track:2KgCPRTAECwNbJG1uYdfjl,"Stamp On The Ground","Stamp!","ItaloBrothers",2010-12-10,197961,70,false,,1970-01-01T00:00:00Z,"italo dance","Punch",0.635,0.827,11,-7.541,0,0.0583,0.211,0.00719,0.0947,0.272,149.974,4
spotify:track:5uFYYOyT3EclOVhiFzPJSz,"Rhythm Is a Dancer","The Madman's Return","SNAP!",1992-01-01,332229,76,false,,1970-01-01T00:00:00Z,"eurodance","BMG Rights Management GmbH",0.757,0.652,9,-14.916,0,0.0333,0.214,0.257,0.0903,0.862,124.369,4
spotify:track:04zrPERrSO4CfyargthKJ9,"Bla Bla Bla","L'Amour Toujours","Gigi D'Agostino",1999,255546,74,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","ZYX Music",0.821,0.833,3,-8.291,0,0.0821,0.0734,0.544,0.0739,0.961,132.975,4
spotify:track:4xYQVaR2wQoS6xz0SSa5Ys,"Something","Some Things (Deluxe)","Lasgo",2001,220973,71,false,,1970-01-01T00:00:00Z,"eurodance","Sinuz Recordings",0.644,0.981,7,-6.644,0,0.0439,0.0271,0.0000967,0.11,0.379,140.012,4
spotify:track:7uuo02BIR76qZ6ZXQhz7Ys,"Played-A-Live (The Bongo Song)","Episode ll","Safri Duo",2001-01-01,405693,68,false,,1970-01-01T00:00:00Z,"clásica electrónica","Universal Music A/S",0.634,0.97,8,-9.585,0,0.0569,0.0156,0.88,0.34,0.202,137.997,4
spotify:track:6HjtZWIo0bh0KLD8Tq4ujR,"DotA - Radio Edit","LOL (2008 yellow bonus version/no videos_France)","Basshunter",2006,200560,67,false,,1970-01-01T00:00:00Z,"eurodance,europop","WM Sweden",0.46,0.962,0,-6.447,1,0.112,0.0084,0.00199,0.186,0.532,140.047,4
spotify:track:4wtR6HB3XekEengMX17cpc,"Children","Children (Dance Vault Mixes)","Robert Miles",1996-07-11,243266,78,false,,1970-01-01T00:00:00Z,"trance,eurodance","Arista",0.604,0.755,0,-10.761,1,0.0337,0.000298,0.817,0.0625,0.387,137.064,4
spotify:track:0l3795cAVGOHNdHvooZ25S,"Another Way","L'Amour Toujours","Gigi D'Agostino",1999,363506,63,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","ZYX Music",0.928,0.806,7,-7.621,0,0.0346,0.103,0.205,0.0799,0.887,130.012,4
spotify:track:4l2ljvyXOCVNbD5ff7NpM7,"I Like to Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix","Move It!","Reel 2 Real;Erick Morillo;The Mad Stuntman",1994-10-10,230760,72,false,,1970-01-01T00:00:00Z,"eurodance,soca","Strictly Rhythm Records",0.863,0.781,5,-8.546,0,0.0785,0.0394,0.000292,0.125,0.764,122.938,4
spotify:track:3u5N55tHf7hXATSQrjBh2q,"Freed From Desire","Come Into My Life (The Album)","Gala;Molella;Phil Jay",1997-11-17,213394,80,false,,1970-01-01T00:00:00Z,"eurodance,italo dance","Do It Yourself",0.704,0.861,2,-4.221,0,0.0493,0.587,0.0615,0.0992,0.636,128.99,4
spotify:track:5N6M8yDiMV32T6Rkzh8EbW,"Boom, Boom, Boom, Boom!!","The Party Album!","Vengaboys",1999-06-04,202583,78,false,,1970-01-01T00:00:00Z,"eurodance,europop","Universal Music, a division of Universal International Music BV",0.801,0.948,11,-4.623,0,0.0386,0.0117,0.457,0.025,0.968,138.489,4
spotify:track:2MGRnjJc7C0z3EOEWRqcMw,"Love Is Gone - Fred Riester & Joachim Garraud Radio Edit Remix","Pop Life","David Guetta;Chris Willis;Fred Riesterer;Joachim Garraud",2007-06-01,199386,73,false,,1970-01-01T00:00:00Z,"edm,electro house","Parlophone (France)",0.773,0.813,4,-4.609,0,0.0797,0.0331,0.0000377,0.192,0.707,127.93,4
spotify:track:4fHug3zCanK33sdvticISi,"Club Bizarre","Club Bizarre","U96",1995,300226,73,false,,1970-01-01T00:00:00Z,"eurodance,happy hardcore","Kingsize Records",0.708,0.738,4,-9.509,0,0.0422,0.0678,0.0928,0.354,0.545,160.554,4
spotify:track:1dxLYXCbQ7siwdXI4IPrWw,"Water Verve (Mixed) - DJ Quicksilver Remix","Trance Top 1000 - Mini Mix 010","Mark Van Dale;Enrico;DJ Quicksilver",2019-07-05,100874,46,false,,1970-01-01T00:00:00Z,"trance,holandesa,eurodance","Armada Music Albums",0.714,0.891,9,-8.775,1,0.0345,0.0145,0.903,0.207,0.79,133.346,4
spotify:track:5MhsZlmKJG6X5kTHkdwC4B,"I'm an Albatraoz","I'm an Albatraoz","AronChupa;Little Sis Nora",2014-08-08,166848,74,true,,1970-01-01T00:00:00Z,"electro swing,melbourne bounce","Aron Ekberg",0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,4
spotify:track:3HGwI9qwq5XqBDeZBV3zti,"World Hold On (Children of the Sky) - Radio Edit","World Hold On (Children of the Sky) [Radio Edit]","Bob Sinclar;Steve Edwards",2006-06-06,199194,81,false,,1970-01-01T00:00:00Z,"house francés,disco house,house","Yellow Productions",0.738,0.933,8,-1.898,0,0.0946,0.0764,0.000108,0.247,0.633,126.994,4
spotify:track:6esrIQuXxZaThJbYtPIppl,"Narcotic - Radio Edit","Narcotic","Liquido",1998-08-31,236150,73,false,,1970-01-01T00:00:00Z,"","BMG Rights Management GmbH",0.616,0.607,1,-7.015,1,0.0231,0.000876,0.0701,0.0918,0.446,102.064,4
spotify:track:5UCPOJs8VJARoIX6acKRuJ,"The Rhythm Of The Night","The Rhythm of the Night","Corona",1995-01-01,264280,77,false,,1970-01-01T00:00:00Z,"eurodance","DWA Records",0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.807,4
spotify:track:46eapXC7SqOeClZoRNkHCa,"It's My Life (Remix)","One Love","Dr. Alban",1992-05-04,273626,69,false,,1970-01-01T00:00:00Z,"eurodance","BMG Rights Management GmbH",0.831,0.851,7,-9.104,1,0.0455,0.000545,0.337,0.224,0.987,128.704,4
spotify:track:5qUYWV5N28x6qZHdAcEVNm,"Show Me Love","Show Me Love","Laidback Luke;Steve Angello;Robin S",2009-03-24,184846,65,false,,1970-01-01T00:00:00Z,"big room,electro house,house progresivo","BEAT Music Fund",0.653,0.856,5,-4.197,1,0.0638,0.517,0,0.128,0.571,129.955,4
spotify:track:0nw4GKKBab2VEPqEWCMOx2,"Sweet Dreams - Radio Version","Sweet Dreams","La Bouche",1995-03-11,204240,69,false,,1970-01-01T00:00:00Z,"eurodance,europop","MCI",0.646,0.847,11,-12.529,0,0.0435,0.0736,0.0515,0.0661,0.859,133.716,4
spotify:track:3aQz0z86zrKjd1mcZlonxE,"Infinity 2008 - Klaas Vocal Edit","Infinity 2008","Guru Josh Project;Klaas",2008-05-07,192294,80,false,,1970-01-01T00:00:00Z,"clásica electrónica,slap house","BigCityBeats Recordings",0.498,0.862,7,-6.02,0,0.0588,0.000313,0.00918,0.352,0.469,128.036,4
spotify:track:59VRFpPnC8pOhIH2WCWXF9,"Saturday Night - Radio Mix","Saturday Night Single","Whigfield",1994-09-19,247405,69,false,,1970-01-01T00:00:00Z,"eurodance","X-Energy",0.728,0.784,11,-11.776,1,0.0379,0.0449,0.0918,0.0964,0.964,129.981,4
spotify:track:02itaCXOdC54J0ISjqqFAp,"All Around The World (La La La)","All Around The World (La La La)","R3HAB;A Touch Of Class",2019-04-05,147840,72,false,,1970-01-01T00:00:00Z,"slap house,edm,europop,eurodance","Intercord",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
spotify:track:4fLnoXqsxHZFvGKppc7kCr,"Cynical","Cynical","twocolors;Safri Duo;Chris de Sarandy",2024-06-30,191365,74,false,,1970-01-01T00:00:00Z,"clásica electrónica","Intercord",0.69,0.84,11,-6.947,1,0.0573,0.0268,0.0000306,0.363,0.493,129.935,4
spotify:track:1aeQQ1Sv8hUwJ1y8zvVRm1,"Super (Riscaldamento)","Super","Gigi D'Agostino;Albertino",2009-11-01,239053,50,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","ZYX Music / Media Records",0.829,0.919,9,-5.631,0,0.0702,0.0154,0.0629,0.113,0.573,133.986,4
spotify:track:0TSg5Qougjg2EiwPgdnfjm,"Carillon - Radio Mix","Magic Box (Essential Tunes)","Magic Box",2021-06-25,207528,41,false,,1970-01-01T00:00:00Z,"italo dance,eurodance","Time Records",0.751,0.934,11,-6.29,0,0.0323,0.0186,0.221,0.0951,0.952,136.812,4
spotify:track:4ih3dyFZoeTdaeJW9mPbOI,"Mr. Vain - Original Radio Edit","Mr. Vain","Culture Beat",1993-01-01,257466,74,false,,1970-01-01T00:00:00Z,"eurodance,europop","Abfahrt Media",0.703,0.997,9,-7.666,0,0.0399,0.0726,0.0235,0.123,0.391,132.872,4
spotify:track:5UqCQaDshqbIk3pkhy4Pjg,"Levels - Radio Edit","Levels","Avicii",2011-10-28,199906,83,false,,1970-01-01T00:00:00Z,"edm","Pophouse Entertainment Group",0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,4
spotify:track:4GewRLEiI4BDTQsoH8BRVV,"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Europop","Eiffel 65;Gabry Ponte",2011-01-05,283747,77,false,,1970-01-01T00:00:00Z,"italo dance,eurodance,europop,slap house","Hits Only",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,"Call on Me - Radio Mix","Call on Me (Radio Mix)","Eric Prydz",2004-09-10,171360,80,false,,1970-01-01T00:00:00Z,"","Pryda Presents",0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342,4
spotify:track:2PTvik6EqPAIYOclAB3SU8,"All I Ever Wanted - Radio Edit","Now You're Gone - The Album","Basshunter",2008-01-15,176453,73,false,,1970-01-01T00:00:00Z,"eurodance,europop","WM Sweden",0.645,0.984,4,-7.051,1,0.0508,0.164,0.00701,0.164,0.553,144.954,4
spotify:track:1CgbwsrNDlFrRuk2ebQ7zr,"9Pm (Till I Come)","Movin' Melodies","ATB",1999-04-26,193880,73,false,,1970-01-01T00:00:00Z,"trance","Kontor Records",0.672,0.941,9,-6.427,0,0.0494,0.0276,0.926,0.149,0.754,130.218,4
spotify:track:5TmFTHZp7HjBXjjsFvCY6h,"Destination Calabria - Radio Edit","Destination Calabria","Alex Gaudino;Crystal Waters",2007-02-19,223111,78,false,,1970-01-01T00:00:00Z,"","Rise Records",0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,4
spotify:track:0MOiv7WTXCqvm89lVCf9C8,"Million Voices - Radio Edit","Million Voices","Otto Knows",2012-01-01,192866,69,false,,1970-01-01T00:00:00Z,"","Universal Music AB Distributed Labels",0.582,0.894,8,-6.298,1,0.041,0.0022,0.0223,0.0664,0.0694,125.946,4
spotify:track:06hsdMbBxWGqBO0TV0Zrkf,"Cotton Eye Joe","Sex & Violins","Rednex",1994-08-12,194000,75,false,,1970-01-01T00:00:00Z,"","Muunshine Muusic",0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,4
