Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4x3qqSA4cP49oZQXPLnDBe,"Runnin'","Trespassing (Deluxe Version)","Adam Lambert",2012-05-08,228533,61,false,,1970-01-01T00:00:00Z,"","RCA Records Label",0.408,0.868,2,-4.438,0,0.0837,0.0082,0,0.151,0.387,83.469,4
spotify:track:2kRFrWaLWiKq48YYVdGcm8,"Everything In Its Right Place","Kid A","Radiohead",2000-10-02,251426,76,false,,1970-01-01T00:00:00Z,"art rock,rock alternativo","XL Recordings",0.296,0.463,5,-11.412,0,0.0449,0.705,0.0482,0.0954,0.0629,123.943,5
spotify:track:0xjd0LsI1x4EkdhCWEiA8d,"Otherside - 2014 Remaster","Californication (2014 Remaster)","Red Hot Chili Peppers",1999,255950,39,false,,1970-01-01T00:00:00Z,"funk rock,rock alternativo,rock","Warner Records",0.487,0.849,0,-0.943,1,0.0539,0.00391,0.00016,0.0852,0.489,123.564,4
spotify:track:2RChe0r2cMoyOvuKobZy44,"Always","Cross Road","Bon Jovi",1994-10-18,353026,82,false,,1970-01-01T00:00:00Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.384,0.659,4,-5.558,1,0.0314,0.115,0,0.0778,0.326,140.795,4
spotify:track:6OZAcgTPxmjUTuiatU0Viq,"Livin' On The Edge","Big Ones","Aerosmith",1994-01-01,381400,70,false,,1970-01-01T00:00:00Z,"rock clásico,rock","Aerosmith P&D - Geffen",0.341,0.862,2,-4.256,1,0.032,0.000437,0.563,0.218,0.29,84.42,4
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,209413,85,false,,1970-01-01T00:00:00Z,"rock clásico,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4
spotify:track:0gzqZ9d1jIKo9psEIthwXe,"Beautiful Day","All That You Can't Leave Behind","U2",2000-01-01,248400,75,false,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,4
spotify:track:1v2zyAJrChw5JnfafSkwkJ,"Shiny Happy People","Out Of Time (25th Anniversary Edition)","R.E.M.",1991-03-12,225786,75,false,,1970-01-01T00:00:00Z,"jangle pop,rock alternativo,rock","Concord Records",0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,4
spotify:track:4pt5fDVTg5GhEvEtlz9dKk,"I WANNA BE YOUR SLAVE","Teatro d'ira - Vol. I","Måneskin",2021-03-19,173346,86,true,,1970-01-01T00:00:00Z,"","RCA Records Label",0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,4
spotify:track:1sTsuZTdANkiFd7T34H3nb,"Human","Day & Age (Bonus Tracks)","The Killers",2008-11-18,245373,78,false,,1970-01-01T00:00:00Z,"rock alternativo","Island Records",0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,87,false,,1970-01-01T00:00:00Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,86,false,,1970-01-01T00:00:00Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
spotify:track:2LawezPeJhN4AWuSB0GtAU,"Have You Ever Seen The Rain","Pendulum (Expanded Edition)","Creedence Clearwater Revival",1970-12-07,160133,89,false,,1970-01-01T00:00:00Z,"rock clásico,rock sureño,country rock","Craft Recordings",0.741,0.697,0,-7.028,1,0.0277,0.0664,0.0000228,0.133,0.774,116.109,4
spotify:track:1aYkkrAbPmMuorVz5HWIqE,"The Look","Look Sharp!","Roxette",1988-10-21,237320,77,false,,1970-01-01T00:00:00Z,"pop sueco","WM Sweden",0.634,0.838,2,-5.363,1,0.0413,0.0527,0.00000834,0.0522,0.541,95.011,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:6kXNnS7JJz0nAv4XEwEmQJ,"Heart Upon My Sleeve (feat. Imagine Dragons)","TIM","Avicii;Imagine Dragons",2019-06-06,254165,66,false,,1970-01-01T00:00:00Z,"edm","Pophouse Entertainment Group",0.588,0.601,4,-5.983,0,0.0332,0.316,0,0.148,0.38,126.06,3
spotify:track:5Hk4Mpex0s2ndUpDQ5v2rU,"Walk Of Life - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,248893,82,false,,1970-01-01T00:00:00Z,"rock clásico","UMC (Universal Music Catalogue)",0.461,0.915,4,-8.524,1,0.0899,0.381,0.000359,0.13,0.777,172.348,4
spotify:track:5QpaGzWp0hwB5faV8dkbAz,"Wherever You Will Go","Camino Palmero","The Calling",2001,208600,82,false,,1970-01-01T00:00:00Z,"pop rock","RCA Records Label",0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,4
spotify:track:0GONea6G2XdnHWjNZd6zt3,"Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,85,false,,1970-01-01T00:00:00Z,"","A&M",0.509,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.13,4
spotify:track:4JGKZS7h4Qa16gOU3oNETV,"Dreams","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,271560,85,false,,1970-01-01T00:00:00Z,"","Island Records",0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4
spotify:track:0jWgAnTrNZmOGmqgvHhZEm,"What's Up?","Bigger, Better, Faster, More !","4 Non Blondes",1992-01-01,295533,86,false,,1970-01-01T00:00:00Z,"","Interscope",0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.358,4
spotify:track:2TofEeQobQ9YoK7EFds698,"You Give Love A Bad Name","Slippery When Wet (Deluxe Edition)","Bon Jovi",1986,222317,81,false,,1970-01-01T00:00:00Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.542,0.942,0,-4.024,0,0.0482,0.00547,0.00000102,0.39,0.835,122.85,4
spotify:track:1MsBRSbt5dqJSw3RxXtvCM,"I Want To Break Free - Remastered 2011","The Works (2011 Remaster)","Queen",1984-02-27,198773,71,false,,1970-01-01T00:00:00Z,"rock clásico,rock,glam rock","EMI",0.875,0.407,4,-10.505,1,0.0376,0.0769,0.000785,0.116,0.777,109.088,4
spotify:track:5JGEAz15LkPoOtFHttDtVs,"With Or Without You - Remastered 2007","The Joshua Tree","U2",1987-03-10,295520,77,false,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.538,0.432,2,-11.882,1,0.0295,0.000185,0.309,0.139,0.116,110.181,4
spotify:track:7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,83,false,,1970-01-01T00:00:00Z,"rock sureño,rock clásico,rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
spotify:track:3Wrjm47oTz2sjIgck11l5e,"Beggin'","Chosen","Måneskin",2017-12-08,211560,87,false,,1970-01-01T00:00:00Z,"","RCA Records Label",0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,4
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell","Highway to Hell","AC/DC",1979-07-27,208110,88,false,,1970-01-01T00:00:00Z,"rock,hard rock,rock clásico,rock and roll","Columbia",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
spotify:track:6PypGyiu0Y2lCDBN1XZEnP,"Everybody Hurts","Automatic For The People","R.E.M.",1992-10-05,320266,77,false,,1970-01-01T00:00:00Z,"jangle pop,rock alternativo,rock","Concord Records",0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3
spotify:track:7HKez549fwJQDzx3zLjHKC,"Start Me Up - Remastered 2009","Tattoo You (2009 Re-Mastered)","The Rolling Stones",1981-08-24,213066,78,false,,1970-01-01T00:00:00Z,"rock clásico,rock","Polydor Records",0.631,0.932,5,-4.142,1,0.0354,0.0429,0.137,0.0918,0.971,122.431,4
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,85,false,,1970-01-01T00:00:00Z,"rock clásico,rock sureño,country rock","Craft Recordings",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,86,false,,1970-01-01T00:00:00Z,"garage rock,blues rock,rock,rock alternativo","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:5B5eTk7DF8KVp1zpQoY1XY,"The Reason","The Reason (20th Anniversary)","Hoobastank",2024-01-12,232800,85,false,,1970-01-01T00:00:00Z,"nu metal","Island Def Jam",0.474,0.671,4,-4.649,1,0.0289,0.0129,0,0.159,0.0682,82.94,4
spotify:track:7MXlTgQeo3IVlMpLnZuhxc,"It's Time","Night Visions","Imagine Dragons",2012-09-04,240306,77,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.656,0.884,2,-4.748,1,0.0372,0.016,0,0.144,0.858,105.009,4
spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,86,false,,1970-01-01T00:00:00Z,"rock clásico","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
spotify:track:1gFNm7cXfG1vSMcxPpSxec,"Ob-La-Di, Ob-La-Da - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,188960,73,false,,1970-01-01T00:00:00Z,"rock clásico,rock psicodélico","EMI Catalogue",0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,4
spotify:track:7FwBtcecmlpc1sLySPXeGE,"Dancing In the Dark","Born In The U.S.A.","Bruce Springsteen",1984-06-04,245296,85,false,,1970-01-01T00:00:00Z,"","Columbia",0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,4
spotify:track:6QAsrXPnMSXIbV0yEJHlEX,"Nothing Else Matters - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,388733,84,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.548,0.395,4,-9.794,0,0.0268,0.0543,0.00000541,0.0791,0.182,142.372,3
spotify:track:3ovjw5HZZv43SxTwApooCM,"Wind Of Change","Crazy World","Scorpions",1990-01-01,312360,84,false,,1970-01-01T00:00:00Z,"hard rock,glam metal,rock","Island Mercury",0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,4
spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,"It's My Life","Crush","Bon Jovi",2000-01-01,224493,84,false,,1970-01-01T00:00:00Z,"glam metal","Island Records",0.551,0.914,0,-4.063,0,0.0465,0.0263,0.0000135,0.347,0.543,119.994,4
spotify:track:2fuCquhmrzHpu5xcA1ci9x,"Under Pressure - Remastered 2011","Hot Space (2011 Remaster)","Queen;David Bowie",1982-05-03,248440,84,false,,1970-01-01T00:00:00Z,"rock clásico,rock,glam rock,art rock","EMI",0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,4
spotify:track:3MRQ3CSjoiV1HFil8ykM9M,"I Still Haven't Found What I'm Looking For - Remastered 2007","The Joshua Tree","U2",1987-03-10,277480,77,false,,1970-01-01T00:00:00Z,"rock","Universal-Island Records Ltd.",0.565,0.764,1,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891,4
spotify:track:07q0QVgO56EorrSGHC48y3,"I Was Made For Lovin' You","Dynasty","KISS",1979-03-23,271240,86,false,,1970-01-01T00:00:00Z,"glam rock,glam metal,hard rock,rock,rock clásico","Casablanca Records",0.768,0.852,4,-6.215,1,0.038,0.214,0.0000736,0.0723,0.867,128.373,4
spotify:track:4t1fWWJQs5V9YErfsrDslC,"Cryin'","Get A Grip","Aerosmith",1993-01-01,308560,75,false,,1970-01-01T00:00:00Z,"rock clásico,rock","Aerosmith P&D - Geffen",0.452,0.813,9,-4.45,1,0.0319,0.0000831,0.0381,0.274,0.539,105.757,3
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,85,false,,1970-01-01T00:00:00Z,"rock,hard rock,rock clásico,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:31AOj9sFz2gM0O3hMARRBx,"Losing My Religion","Out Of Time (25th Anniversary Edition)","R.E.M.",1991-03-12,268426,88,false,,1970-01-01T00:00:00Z,"jangle pop,rock alternativo,rock","Concord Records",0.666,0.855,9,-5.051,0,0.0295,0.179,0.0000012,0.0987,0.803,125.639,4
