Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3EgZ941v78lgnizA1d18IT,"Silencio","Silencio","David Bisbal",2007-01-01,210973,41,false,albertojuanmartin,2020-02-25T02:38:56Z,"pop latino,villancicos","Universal Music Spain S.L.",0.626,0.905,6,-3.97,1,0.0292,0.00143,0,0.08,0.761,128.918,4
spotify:track:5c9URmh04PENMHMkNJu4iM,"Te perdí - con Belén Arjona","En vivo... y coleando","Iguana Tango",2008-06-17,243960,28,false,albertojuanmartin,2020-02-25T02:39:25Z,"tango","WM Spain",0.632,0.721,0,-9.046,0,0.0325,0.814,0,0.677,0.487,136.247,4
spotify:track:2kaHorrtVLo9brE37NQvGa,"Esta soy yo","El sueño de Morfeo (reedicion)","El Sueño de Morfeo",2005-03-07,259253,59,false,albertojuanmartin,2020-02-25T02:40:34Z,"","DRO/Spain",0.654,0.821,5,-4.163,1,0.0352,0.187,0,0.485,0.554,112.058,4
spotify:track:1LuW4h5s9ZumBbMh7qhDDj,"Una Foto en Blanco y Negro","Estados de Animo","El Canto Del Loco",2003,209893,61,false,albertojuanmartin,2020-02-25T02:40:37Z,"","Ariola",0.545,0.875,1,-3.714,1,0.0337,0.0737,0,0.215,0.675,139.008,4
spotify:track:2T0hFOkypPat3w4K5mc7fc,"Cuando Brille el Sol (with Manuel Espana)","45 R.P.M.","Melocos;Manuel España",2010-05-11,240453,43,false,albertojuanmartin,2020-02-25T02:40:55Z,"","Ariola",0.489,0.945,2,-3.297,1,0.0454,0.00053,0.00000323,0.122,0.815,161.17,4
spotify:track:2VTaauLbYR0VxWaT9rlQFi,"Pienso en Aquella Tarde - Nueva Versión","Algo para Cantar","Pereza",2003-07-11,221693,47,false,albertojuanmartin,2020-02-25T02:41:12Z,"","RCA Records Label",0.712,0.629,7,-6.554,1,0.0269,0.203,0,0.0838,0.633,119.946,4
spotify:track:7DyWMf7gCHoLDNt5Ms63ZV,"Rosa Y Espinas","La Chiqui Big Band","David Civera;David Bisbal",2003-01-01,214200,41,false,albertojuanmartin,2020-02-25T02:41:32Z,"pop latino,villancicos","Universal Music Spain S.L.",0.714,0.963,0,-4.305,1,0.0398,0.113,0,0.106,0.913,107.936,4
spotify:track:4UtREbGYnd1nZLckEb5y8J,"Carolina - En directo 2000","Sin Enchufe","M-Clan",2001,263679,64,false,albertojuanmartin,2020-02-25T02:41:56Z,"","DRO/EastWest Spain",0.649,0.9,7,-4.135,1,0.0306,0.146,0,0.694,0.86,123.978,4
spotify:track:2kGflpDFBexojT5vIu6tmr,"La Chica De Ayer","Quizás","Enrique Iglesias",2002-01-01,238533,40,false,albertojuanmartin,2020-02-25T02:42:38Z,"pop latino,latina","Int'l Other",0.649,0.947,8,-4.524,1,0.0267,0.009,0.00000826,0.0977,0.925,127.061,4
spotify:track:1PgMmLl8C6O1a5c6oMV2Fo,"Abre Tu Mente","Autentica","Merche",2004-01-01,222880,47,false,albertojuanmartin,2020-02-25T02:43:22Z,"","Universal Music Spain S.L.",0.71,0.992,5,-4.007,1,0.0399,0.00955,0.000449,0.379,0.903,124.014,4
spotify:track:7tKAMMMgaGDs5wTg7vCA1F,"Corazón congelado","Pastora Soler, Sus Grandes Éxitos","Pastora Soler",2005-05-09,229040,10,false,albertojuanmartin,2020-02-25T02:43:45Z,"flamenco pop,flamenco","Parlophone Spain",0.783,0.895,4,-7.518,1,0.122,0.186,0.00000117,0.131,0.774,92.008,4
spotify:track:0aOCPWxZjEW5weQITD0W35,"Quiero besarte","Desperte","Roser",2003-03-03,229746,39,false,albertojuanmartin,2020-02-25T02:43:54Z,"","WM Spain",0.757,0.941,10,-3.316,1,0.0358,0.0502,0.0000511,0.0615,0.89,128.025,4
spotify:track:3UaQ7rPrZt60bUyegxsedg,"Que El Ritmo No Pare","Que El Ritmo No Pare","Patricia Manterola",2002-03-05,226693,42,false,albertojuanmartin,2020-02-25T02:45:46Z,"","Ariola",0.713,0.952,11,-3.463,0,0.0943,0.0978,0,0.441,0.622,97.031,4
spotify:track:4Dm1ZFvY0cszHTOt3KSCGz,"Yo Quiero Bailar - 2011 Reloaded Radio Mix","Yo Quiero Bailar","Sonia Y Selena",2011,231079,35,false,albertojuanmartin,2020-02-25T02:45:56Z,"","Blanco y Negro Music",0.629,0.988,11,-4.201,1,0.0541,0.0129,0.434,0.643,0.854,127.965,4
spotify:track:6SWAkFCnlQTZQKdBVZPcah,"No Me Pidas Mas Amor","Mi Sueño","Merche",2002-01-01,206626,44,false,albertojuanmartin,2020-02-25T02:47:08Z,"","Universal Music Spain S.L.",0.696,0.911,6,-6.161,0,0.0653,0.0789,0.00000423,0.619,0.691,116.084,4
spotify:track:4LYn1jIrpuhqmMQGKiVYss,"Corazón Contento","Agua","Operación Triunfo 2008",2008-01-01,183400,22,false,albertojuanmartin,2020-02-25T02:47:44Z,"","Universal Music Spain S.L.",0.598,0.821,5,-5.516,0,0.0298,0.128,0,0.216,0.863,130.968,4
spotify:track:0D6pYl55zQFUlzFNqmVVdr,"La Dolce Vita","Dolce Vita","Soraya",2007-01-01,213440,31,false,albertojuanmartin,2020-02-25T02:48:01Z,"","Universal Music Spain S.L.",0.725,0.959,11,-5.504,1,0.0359,0.00622,0.0000117,0.0644,0.967,125.016,4
spotify:track:4unOsvr9C2NqI9aJXrxpCy,"Sirenas","Dr. Charas","Taburete",2016-11-18,184250,0,false,albertojuanmartin,2020-02-25T02:50:03Z,"","Voltereta Records",0.686,0.574,5,-6.249,1,0.0404,0.739,0,0.109,0.251,126.98,4
spotify:track:5NQw5WJwKRPaaSDHXD04Fs,"Lady Madrid","Aviones","Pereza",2009-08-25,191586,61,false,albertojuanmartin,2020-02-25T02:50:12Z,"","RCA Records Label",0.598,0.655,0,-2.761,1,0.0256,0.359,0,0.0922,0.377,115.041,4
spotify:track:7EwISik6EOmK1CZhs68nsg,"Años 80","Ultrasónica","Los Piratas",2001,220840,57,false,albertojuanmartin,2020-02-25T02:51:02Z,"","WM Spain",0.467,0.9,2,-4.318,1,0.0378,0.000642,0,0.351,0.495,125.981,4
spotify:track:78DVpEWwmJFC25KGz8fJuE,"Clavado en Un Bar","Sueños Líquidos","Maná",1997,310813,80,false,albertojuanmartin,2020-02-25T02:51:08Z,"rock en español,rock latino,rock mexicano,pop latino","WM Mexico",0.634,0.854,11,-3.444,1,0.0369,0.00737,0.00000249,0.0664,0.564,148.003,4
spotify:track:4bavcis6bApsKI8YkKg3Cx,"20 de abril - En directo 1997","Nos Vemos En Los Bares","Celtas Cortos",1997,237346,52,false,albertojuanmartin,2020-02-25T02:51:19Z,"rock celta,celta","DRO/EastWest Spain",0.526,0.722,0,-12.057,1,0.0394,0.000925,0.0000124,0.821,0.468,112.961,4
spotify:track:78FJd3BMjDQCA1Hh2QfKqS,"Voy a pasármelo bien","Voy A Pasarmelo Bien","Hombres G",1989,235080,64,false,albertojuanmartin,2020-02-25T02:52:07Z,"rock en español,rock latino,rock mexicano","DRO/EastWest Spain",0.669,0.848,0,-4.688,1,0.044,0.0303,0.0000404,0.0389,0.826,147.947,4
spotify:track:6CVWQbpZwP2ioxJz6zUEoU,"Entre dos mares","Entre dos mares","Fito y Fitipaldis",2017-09-29,280933,57,false,albertojuanmartin,2020-02-25T02:53:34Z,"","WM Spain",0.493,0.814,2,-4.752,1,0.0379,0.00274,0,0.237,0.499,151.154,4
spotify:track:10oaL9cDw3ijT3BJoLkqdc,"Ciega, Sordomuda","Donde Estan Los Ladrones","Shakira",1998-09-07,267826,0,false,albertojuanmartin,2020-02-25T02:53:43Z,"pop latino","Columbia",0.746,0.876,1,-6.042,1,0.0345,0.0438,0.00000251,0.112,0.928,119.97,4
spotify:track:2Ma2f8jV8VKMJoAcnCvZ8h,"Y Yo Sigo Aqui - Spanglish","Paulina","Paulina Rubio",2000-01-01,254773,59,false,albertojuanmartin,2020-02-25T02:56:12Z,"pop latino","Universal Music Mexico",0.774,0.953,0,-7.223,1,0.0502,0.000958,0.00000176,0.287,0.873,126.023,4
spotify:track:36inQzyICgt9y0jddpVQe1,"Corazón Latino","Corazón Latino","David Bisbal",2002-10-15,175360,48,false,albertojuanmartin,2020-02-25T02:56:39Z,"pop latino,villancicos","Universal Music Spain S.L.",0.727,0.976,6,-5.221,0,0.0881,0.0683,0,0.644,0.85,120.038,4
spotify:track:684oh18gBA2WtbQ6nK0tEw,"Desátame","Renaissance (Boxset)","Monica Naranjo",2019-11-15,287653,36,false,albertojuanmartin,2020-02-25T02:58:00Z,"pop latino","Legacy Recordings",0.538,0.961,7,-2.28,0,0.0807,0.0313,0,0.241,0.624,136.269,4
