Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7vafezC0u0nftVpGF6jftk,"Delgadito","Instintos Naturales","La Rabia Del Milenio",2001-05-14,248546,49,false,1168685291,2026-05-01T08:01:25Z,"","WM Spain",0.611,0.892,11,-5.234,1,0.0381,0.0635,0,0.604,0.914,134.29,4
spotify:track:6mcpkw1sqCQWbTjDBCLj26,"Atrapados en la red","Nubes Y Claros","Tam Tam Go!",1999-03-17,263800,55,false,1168685291,2026-05-01T08:01:25Z,"rock latino,rock en español","Parlophone Spain",0.753,0.749,9,-8.758,1,0.0419,0.152,0,0.121,0.948,135.785,4
spotify:track:5SeYlZyKVENMOxiSPQkKyw,"El Fin del Mundo","El Fin del Mundo","La La Love You;Axolotes Mexicanos",2019-11-29,188093,16,false,1168685291,2026-05-01T08:01:25Z,"","Subterfuge Records distributed by Altafonte",0.6,0.866,4,-4.599,1,0.0477,0.000839,0,0.094,0.676,127.056,4
spotify:track:2UC0OxMpQeSYft4pRswyEX,"Sabor de amor","1984-1989","Danza Invisible",1989-01-01,219640,51,false,1168685291,2026-05-01T08:01:25Z,"rock en español","DRO/EastWest Spain",0.637,0.482,9,-11.159,1,0.0378,0.12,0,0.158,0.832,133.799,4
spotify:track:2IofpcCv3PjgZ5AjX446fi,"Dime Que Me Quieres","Viva Tequila/New Booklet","Tequila",1980-01-04,180800,50,false,1168685291,2026-05-01T08:01:25Z,"","Zafiro",0.357,0.978,1,-3.552,0,0.0612,0.0276,0.00000151,0.741,0.939,181.955,4
spotify:track:7k0Oaq71dNFLYxcS6OIS3s,"¡Fenómeno!","¡Fenómeno!","Los Caracoles",1999-05-27,241013,32,false,1168685291,2026-05-01T08:01:25Z,"son jarocho","WM Spain",0.733,0.815,2,-7.008,1,0.0295,0.182,0.0000305,0.0147,0.969,122.961,4
spotify:track:0q26YkYooQjbNyNXzGcHGP,"Mira cómo vuelo","Detroit","Miss Caffeina",2016-02-26,189360,56,false,1168685291,2026-05-01T08:01:25Z,"indie","WM Spain",0.598,0.886,4,-5.607,1,0.0342,0.00121,0.0627,0.545,0.766,145.006,4
spotify:track:4z2EeFUp5Lhai9qhHtA6IF,"Salir","Canciones Prohibidas","Extremoduro",1998-06-08,318986,66,false,1168685291,2026-05-01T08:01:25Z,"","WM Spain",0.316,0.645,7,-6.206,1,0.0431,0.291,0.00312,0.109,0.467,160.399,4
spotify:track:7H0PDJwUMTdwQEBb3gXMeI,"Desde Brasil","La taberna del Buda","Café Quijano",2001-05-25,232640,63,false,1168685291,2026-05-01T08:01:25Z,"bolero,rock en español","WM Spain",0.631,0.879,6,-5.476,0,0.0324,0.329,0.000378,0.0805,0.847,156.12,4
spotify:track:1J2XL5ciqUgCQ92TmFDAAZ,"Dulce condena","¡Hasta luego!","Los Rodriguez",1996-05-21,281560,0,false,1168685291,2026-05-01T08:01:25Z,"rock latino,rock argentino,rock en español","WM Spain",0.619,0.89,5,-4.705,1,0.0308,0.174,0,0.124,0.909,127.101,4
spotify:track:1i7uNbtb4avG7U3JZZdzXE,"Carolina","Pop Español 2000","M-Clan",2017-05-22,263679,0,false,1168685291,2026-05-01T08:01:25Z,"","Warner Music Group - X5 Music Group",0.649,0.9,7,-4.135,1,0.0306,0.146,0,0.694,0.86,123.978,4
