Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7EsjkelQuoUlJXEw7SeVV4,"Black or White","Dangerous","Michael Jackson",1991-11-13,256017,78,false,,1970-01-01T00:00:00Z,"","Epic/Legacy",0.518,0.901,9,-3.749,1,0.093,0.174,0.0314,0.0712,0.873,115.026,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,292875,85,false,,1970-01-01T00:00:00Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
spotify:track:2goLsvvODILDzeeiT4dAoR,"Believe","Believe","Cher",1998,239026,83,false,,1970-01-01T00:00:00Z,"","Warner Records",0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,4
spotify:track:5O4erNlJ74PIF6kGol1ZrC,"Could You Be Loved","Uprising","Bob Marley & The Wailers",1980-06-10,237000,86,false,,1970-01-01T00:00:00Z,"reggae,roots reggae","Island Records",0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,4
spotify:track:2RChe0r2cMoyOvuKobZy44,"Always","Cross Road","Bon Jovi",1994-10-18,353026,82,false,,1970-01-01T00:00:00Z,"glam metal","Bon Jovi Dist Deal (Catalog)",0.384,0.659,4,-5.558,1,0.0314,0.115,0,0.0778,0.326,140.795,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,87,false,,1970-01-01T00:00:00Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
spotify:track:0OTO8ZF2YqFQVw9hnZylTd,"What Is Love - 7"" Mix","The Album","Haddaway",1993-09-13,270373,85,false,,1970-01-01T00:00:00Z,"eurodance","BMG Rights Management GmbH",0.683,0.772,7,-7.907,0,0.031,0.0222,0.0156,0.203,0.738,123.869,4
spotify:track:5tdKaKLnC4SgtDZ6RlWeal,"How Will I Know","Whitney Houston","Whitney Houston",1985-02-14,269696,77,false,,1970-01-01T00:00:00Z,"","Arista",0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,4
spotify:track:1aYkkrAbPmMuorVz5HWIqE,"The Look","Look Sharp!","Roxette",1988-10-21,237320,77,false,,1970-01-01T00:00:00Z,"pop sueco","WM Sweden",0.634,0.838,2,-5.363,1,0.0413,0.0527,0.00000834,0.0522,0.541,95.011,4
spotify:track:7yFvSYKk3g5g8e7Ffl16ws,"Three Little Birds","Exodus","Bob Marley & The Wailers",1977-06-03,180266,81,false,,1970-01-01T00:00:00Z,"reggae,roots reggae","Tuff Gong",0.826,0.49,9,-10.477,1,0.0676,0.00916,0.00000441,0.0415,0.627,74.128,4
spotify:track:3wuCCNCnBhJlwkIJTBZFiv,"They Don't Care About Us","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,284310,86,false,,1970-01-01T00:00:00Z,"","Epic",0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered 2011","Jazz (2011 Remaster)","Queen",1978-11-10,209413,85,false,,1970-01-01T00:00:00Z,"rock clásico,rock,glam rock","EMI",0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,4
spotify:track:6pPWRBubXOBAHnjl5ZIujB,"The Best","Foreign Affair","Tina Turner",1989-09-13,329800,76,false,,1970-01-01T00:00:00Z,"","Parlophone UK",0.662,0.737,0,-9.54,1,0.0296,0.108,0.0191,0.119,0.744,103.867,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,1970-01-01T00:00:00Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:2TxCwUlqaOH3TIyJqGgR91,"Mamma Mia","Abba","ABBA",1975,213266,80,false,,1970-01-01T00:00:00Z,"","Polar Music International AB",0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,4
spotify:track:7J1uxwnxfQLu4APicE5Rnj,"Billie Jean","Thriller","Michael Jackson",1982-11-30,293802,90,false,,1970-01-01T00:00:00Z,"","Epic",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
spotify:track:6JRLFiX9NJSoRRKxowlBYr,"Is This Love","Kaya","Bob Marley & The Wailers",1978,232200,81,false,,1970-01-01T00:00:00Z,"reggae,roots reggae","Island Records",0.776,0.561,6,-8.375,0,0.103,0.111,0,0.067,0.743,122.246,4
spotify:track:6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""","It Must Have Been Love","Roxette",1990-05-20,259665,83,false,,1970-01-01T00:00:00Z,"pop sueco","WM Sweden",0.52,0.652,5,-6.655,1,0.0274,0.339,0.0000614,0.256,0.722,80.61,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,89,false,,1970-01-01T00:00:00Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:3mRM4NM8iO7UBqrSigCQFH,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","Greatest","Bee Gees",1979-01-01,285373,83,false,,1970-01-01T00:00:00Z,"disco","Bee Gees Catalog",0.703,0.827,10,-7.179,0,0.0343,0.032,0.00636,0.179,0.944,103.564,4
spotify:track:76HKOVWqsEg26SECtmw7Rz,"The Way You Make Me Feel - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,298121,83,false,,1970-01-01T00:00:00Z,"","Epic/Legacy",0.877,0.854,1,-4.523,1,0.147,0.0544,0.000055,0.144,0.54,114.472,4
spotify:track:5BckPAYcKEJuYs1eV1BHHe,"Take A Chance On Me","The Album","ABBA",1977,243933,79,false,,1970-01-01T00:00:00Z,"","Polar Music International AB",0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,4
