Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:698ItKASDavgwZ3WjaWjtz,"Faded","Different World","Alan Walker",2018-12-14,212106,83,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.468,0.627,6,-5.085,1,0.0476,0.0281,0.00000797,0.11,0.159,179.642,4
spotify:track:10WIipFI4uGVY6lW1WMKqd,"Headlights (feat. KIDDO)","Headlights (feat. KIDDO)","Alok;Alan Walker;KIDDO",2022-02-18,158400,65,false,,1970-01-01T00:00:00Z,"graves brasileños,electrónica,slap house,electro house","CONTROVERSIA",0.627,0.748,2,-6.22,0,0.0273,0.011,0.0049,0.157,0.304,100.013,4
spotify:track:0SML6wWerD0yI2Xd4OUC1R,"Better Off (Alone, Pt. III)","Walkerworld","Alan Walker;Dash Berlin;Vikkstar",2023-11-10,151702,78,false,,1970-01-01T00:00:00Z,"trance,big room","MER Recordings",0.507,0.692,9,-5.199,0,0.0453,0.0304,0,0.151,0.375,129.803,4
spotify:track:28VbwtsYnj85UEODGpQRem,"Alone, Pt. II","World Of Walker","Alan Walker;Ava Max",2021-11-26,179052,76,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.673,0.659,3,-4.493,0,0.0439,0.539,0,0.129,0.628,88.011,4
spotify:track:3LlmKSHR3Rs0Y3KHQLAYDk,"Alone","Different World","Alan Walker",2018-12-14,160426,77,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021,4
spotify:track:2DGa7iaidT5s0qnINlwMjJ,"The Spectre","The Spectre","Alan Walker",2017-09-15,193787,74,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,4
spotify:track:3Os9onUOoxT6EP3kwiMRKA,"Unity","Unity","The Walkers;Alan Walker;SAPPHIRE",2022-06-03,204521,70,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.583,0.658,11,-6.833,1,0.0331,0.0495,0.0000269,0.115,0.236,115.014,4
spotify:track:3BomnHfqKZCdPJC9bkGBjE,"On My Way","World Of Walker","Alan Walker;Sabrina Carpenter;Farruko",2021-11-26,193959,75,true,,1970-01-01T00:00:00Z,"pop,reggaetón,trap latino","Kreatell Music",0.522,0.697,1,-5.288,0,0.103,0.0291,0,0.319,0.235,169.775,4
spotify:track:6SRWhUJcD2YKahCwHavz3X,"Darkside","Different World","Alan Walker;Au/Ra;Tomine Harket",2018-12-14,211680,75,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.43,0.606,4,-5.115,0,0.0431,0.131,0,0.173,0.123,169.988,4
spotify:track:7rFuXulG4qi129VYAREBf2,"Hero","Walkerworld","Alan Walker;Sasha Alex Sloan",2023-11-10,175271,68,false,,1970-01-01T00:00:00Z,"","MER Recordings",0.594,0.732,5,-7.073,1,0.0299,0.0298,0.0000133,0.213,0.0964,126.039,4
spotify:track:4jp4Z02kzzg8gK0NmDGgml,"Play","Play","K-391;Alan Walker;Tungevaag;Mangoo",2019-08-30,167976,69,false,,1970-01-01T00:00:00Z,"big room,eurodance","Kreatell Music",0.52,0.798,6,-5.498,0,0.0391,0.101,0,0.0932,0.168,101.944,4
spotify:track:5BKJAuVMDyrFvUTo4dIaiK,"Not You","World Of Walker","Alan Walker;Emma Steinbakken",2021-11-26,153718,66,false,,1970-01-01T00:00:00Z,"pop noruego","Kreatell Music",0.573,0.264,5,-8.955,1,0.0365,0.827,0.0000171,0.103,0.379,129.791,4
spotify:track:0lks2Kt9veMOFEAPN0fsqN,"Lily","Different World","Alan Walker;K-391;Emelie Hollow",2018-12-14,195840,74,false,,1970-01-01T00:00:00Z,"pop noruego","Kreatell Music",0.423,0.634,6,-5.877,0,0.0578,0.196,0,0.189,0.467,150.978,4
spotify:track:1jLsirPDkUS2g4gnkYua58,"Ignite","Ignite","Alan Walker;Julie Bergan;K-391;SEUNGRI",2018-05-11,210288,70,false,,1970-01-01T00:00:00Z,"pop noruego,k-pop","Kreatell Music",0.681,0.864,8,-4.3,0,0.116,0.0208,0.00000398,0.192,0.479,90.008,4
spotify:track:2cxjLvJ5U7rTAyG14aebDX,"Monster","Monster","Alan Walker;Emyrson Flora",2026-03-13,158798,66,false,,1970-01-01T00:00:00Z,"","World of Walker Music",0.61,0.671,6,-3.33,0,0.0363,0.247,0,0.11,0.0972,95.987,4
spotify:track:7HoWt1XVdWPcdZi2oVi9OQ,"Broken Strings","Broken Strings","Alan Walker;Isabella Melkman;Katherine O'Ryan",2026-01-02,147349,65,false,,1970-01-01T00:00:00Z,"","World of Walker Music",0.498,0.622,6,-5.059,0,0.0436,0.0984,0,0.189,0.221,93.958,4
spotify:track:56PCJsbp8S0MTSMEbeGnnr,"Broken Angel (This is Lonely Club)","Quantum Beats","Alan Walker;Steve Aoki;Lonely Club;Arash",2025-12-05,171200,64,false,,1970-01-01T00:00:00Z,"electro house,edm,afro house","World of Walker Music / C 2025 DJ Kid Millionaire Ltd",0.575,0.952,6,-5.034,1,0.0509,0.0145,0.00000137,0.122,0.57,150.013,4
spotify:track:572PPqti4bqGpqEnsWFlIu,"Lifeline","Neon Nights","Alan Walker;LOVA",2024-08-07,202719,63,false,,1970-01-01T00:00:00Z,"pop sueco","Monstercat",0.691,0.694,8,-5.397,1,0.0426,0.151,0.00000217,0.0945,0.0724,127.998,4
spotify:track:0lG6QM1jjbbX5UUn3DPmrZ,"Lost Control","Different World","Alan Walker;Sorana",2018-12-14,222320,65,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997,4
spotify:track:4JUonhFVjyHzWpUQFIaKZs,"Getaway","World of Walker, Season One: Rise of the Drones","Alan Walker;Emyrson Flora",2026-03-27,173000,66,false,,1970-01-01T00:00:00Z,"","World Of Walker Music",0.602,0.652,3,-6.06,0,0.0966,0.103,0.0000186,0.061,0.594,164.892,4
spotify:track:2ZKm0cv6n9G0u0mNNadw8V,"Heartbreak Melody","Heartbreak Melody","Alan Walker;FAANGS",2025-07-18,191830,65,true,,1970-01-01T00:00:00Z,"","Kreatell Music under exclusive license to Tomorrowland Music / SoundOn",0.638,0.759,8,-6.043,1,0.112,0.0448,0,0.356,0.158,134.782,4
spotify:track:4uDhts78RdwIDjEqPrYVKp,"Sweet Dreams","Sweet Dreams","Alan Walker;Imanbek",2021-06-11,138819,66,false,,1970-01-01T00:00:00Z,"slap house","Kreatell Music",0.766,0.817,7,-4.253,1,0.035,0.0239,0.00000249,0.159,0.43,125.033,4
spotify:track:1HvCFAUIWQsWV9zud3UhDl,"All Falls Down (feat. Juliander)","Different World","Alan Walker;Noah Cyrus;Digital Farm Animals;Juliander",2018-12-14,198880,66,true,,1970-01-01T00:00:00Z,"pop sueco","Kreatell Music",0.655,0.672,1,-4.966,1,0.0581,0.253,0,0.312,0.675,98.005,4
spotify:track:67O8CWXxPsfz8orZVGMQwf,"End of Time","End of Time","K-391;Alan Walker;Ahrix",2020-03-06,187560,64,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.81,0.7,4,-5.664,0,0.0399,0.267,0.0000669,0.137,0.193,116.019,4
spotify:track:4KIy6jNEmGFl33RU84iL5P,"Eroina","World of Walker, Season One: Rise of the Drones","Alan Walker;Sorana",2026-03-27,202210,63,false,,1970-01-01T00:00:00Z,"","World Of Walker Music",0.646,0.734,1,-5.443,0,0.0343,0.056,0,0.343,0.369,95.055,4
spotify:track:1NMYbsFZyxwHRNaLGzFGWh,"Who I Am","Who I Am","Alan Walker;Putri Ariani;Peder Elias",2024-01-04,193776,62,false,,1970-01-01T00:00:00Z,"pop indonesio,pop noruego","MER Recordings",0.531,0.53,5,-5.267,0,0.0405,0.133,0,0.0927,0.329,108.864,5
spotify:track:0wOfbpwLdSLoWAkUYLH8ur,"Last Song (feat. Faouzia)","Walkerworld 2.0","Alan Walker;Faouzia",2025-01-10,153207,62,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.577,0.702,11,-5.099,0,0.0574,0.0124,0,0.0581,0.398,141.04,4
spotify:track:5jiDsY3XhlJ7TsByrQ4npm,"Heart over Mind","Walkerworld","Alan Walker;Daya",2023-11-10,189391,61,false,,1970-01-01T00:00:00Z,"","MER Recordings",0.631,0.738,4,-3.442,0,0.0278,0.000473,0.00000542,0.182,0.365,117.011,4
spotify:track:6KwgfZhSWwrjDriUVNjVpI,"Void","Void","Alan Walker;Sorana",2026-01-30,191861,60,false,,1970-01-01T00:00:00Z,"","World of Walker Music",0.6,0.748,4,-3.201,0,0.0553,0.0809,0,0.154,0.39,140.89,4
spotify:track:0zqBZqm5czQ3A4EoSdKFHj,"Man On The Moon","World Of Walker","Alan Walker;Benjamin Ingrosso",2021-11-26,178625,62,false,,1970-01-01T00:00:00Z,"pop sueco","Kreatell Music",0.668,0.816,4,-5.648,0,0.0367,0.0557,0.00000102,0.197,0.5,129.971,4
spotify:track:5481KTfiIDDOvTqgtevdIj,"Legends Never Die (Remix)","Legends Never Die (Remix)","League of Legends;Alan Walker;Against The Current;Mako",2017-11-02,167173,64,false,,1970-01-01T00:00:00Z,"pop punk","Riot Games",0.399,0.81,9,-4.033,0,0.19,0.164,0,0.504,0.34,154.93,4
spotify:track:5bUGTPa2WYYS9P49MzAljd,"Beautiful Nightmare","Neon Nights","Alan Walker;bludnymph",2024-08-07,167855,60,false,,1970-01-01T00:00:00Z,"","Monstercat",0.646,0.962,8,-4.148,0,0.0485,0.0853,0.000838,0.493,0.685,161.042,4
spotify:track:1zOOl8f7qkjj0AmvlCfLyQ,"The Drum","The Drum","Alan Walker",2022-04-29,189287,60,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.783,0.762,6,-4.727,1,0.0507,0.158,0.0000656,0.092,0.33,127.993,4
spotify:track:7mKy65CyVCmawYMw3JJGPQ,"Me, Myself and The Night","Me, Myself and The Night","Alan Walker",2025-05-30,251748,59,false,,1970-01-01T00:00:00Z,"","World Of Walker Music",0.682,0.814,0,-6.709,1,0.0861,0.0869,0,0.0621,0.209,142.927,4
spotify:track:5B8VpcIC3EAI3wke3XQoRy,"Fire!","Fire! (feat. YUQI ((G)I-DLE), JVKE)","Alan Walker;YUQI;JVKE;i-dle",2023-12-14,123624,60,false,,1970-01-01T00:00:00Z,"k-pop","Kreatell Music",0.78,0.726,1,-5.683,1,0.0321,0.0274,0,0.126,0.303,125.032,4
spotify:track:1KR9TkyhxqqpOk45WAm7bM,"Running Out Of Roses","Walker Racing League","Alan Walker;Jamie Miller",2021-09-10,136563,59,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.753,0.539,3,-6.946,1,0.0393,0.0505,0,0.0664,0.443,124.015,4
spotify:track:5KMVvlczBJnxDJJe3U4Tbn,"Dancing in love","Walkerworld 2.0","Alan Walker;MEEK",2025-01-10,156937,59,false,,1970-01-01T00:00:00Z,"","Kreatell Music",0.742,0.838,1,-3.718,1,0.0374,0.0262,0,0.132,0.698,123.977,4
