Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0nrRP2bk19rLc0orkWPQk2,"Wake Me Up","True","Avicii",2013-09-16,247426,88,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,"The Nights","The Days / Nights","Avicii",2014-01-01,176658,86,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
spotify:track:2P4OICZRVAQcYAV2JReRfj,"Waiting For Love","Stories","Avicii",2015-10-02,230613,84,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,4
spotify:track:5UqCQaDshqbIk3pkhy4Pjg,"Levels - Radio Edit","Levels","Avicii",2011-10-28,199906,83,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,4
spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,"Without You (feat. Sandro Cavazza)","AVĪCI (01)","Avicii;Sandro Cavazza",2017-08-10,181672,80,true,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,4
spotify:track:4eDYMhIin1pSLIG96f1aD0,"Addicted To You","True","Avicii",2013-09-16,148386,75,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.569,0.785,1,-4.057,0,0.0457,0.0505,0.00000112,0.086,0.303,128.031,4
spotify:track:4tdSojwmf4vNZMWS6HcQWb,"Let's Ride Away","Avicii Forever","Avicii;Elle King",2025-05-16,173217,61,false,,2025-09-18T08:22:30Z,"edm","Universal Music AB",0.659,0.725,7,-6.681,1,0.0268,0.00773,0.0294,0.217,0.442,115.057,4
spotify:track:2x0RZdkZcD8QRI53XT4GI5,"SOS (feat. Aloe Blacc)","TIM","Avicii;Aloe Blacc",2019-06-06,157202,71,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
spotify:track:5Iy2Jj87Ha0C0IBlNE1I4y,"The Days","The Days / Nights","Avicii",2014-01-01,278480,68,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.59,0.724,0,-3.278,1,0.0439,0.04,0.0000407,0.142,0.526,127.059,4
spotify:track:1HnuyFokRiXuJtygnFCiZT,"Forever Yours - Tim’s 2016 Ibiza Version","Forever Yours (Tim’s 2016 Ibiza Version)","Avicii;Sandro Cavazza",2025-02-14,208159,62,false,,2025-09-18T08:22:30Z,"edm","Universal Music AB",0.603,0.879,7,-3.307,0,0.084,0.0707,0.0000359,0.268,0.425,125.063,4
