Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6pL7puHxh1psrLzrAlobxQ,"Sexy Bitch (feat. Akon)","One More Love","David Guetta;Akon",2010-11-22,195853,57,true,nlacasse,2020-10-02T00:24:04Z,"edm","Parlophone (France)",0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,4
spotify:track:77TT8Xvx637TpzV8kKGkUw,"Titanium (feat. Sia)","Nothing but the Beat","David Guetta;Sia",2011-08-31,245040,61,false,nlacasse,2020-10-02T00:24:26Z,"edm","Parlophone (France)",0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,4
spotify:track:7uHO4AmKtyGa5v5fsElGoC,"You Spin Me Round (Like a Record)","Youthquake","Dead Or Alive",1985-03-26,199666,4,false,nlacasse,2020-10-02T00:24:46Z,"hi-nrg,synthpop","Epic",0.567,0.943,6,-7.992,0,0.0387,0.0312,0.0965,0.544,0.965,128.207,4
spotify:track:6HdM7gzXVgcpepv276raog,"It's My Life","One Love (2nd Edition)","Dr. Alban",1992-05-04,239933,7,false,nlacasse,2020-10-02T00:25:38Z,"eurodance","Ariola-Logic",0.655,0.933,7,-7.703,1,0.0536,0.00332,0.0365,0.0983,0.472,128.701,4
spotify:track:2yAVzRiEQooPEJ9SYx11L3,"Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio","Europop","Eiffel 65;Gabry Ponte",1999,283747,10,false,nlacasse,2020-10-02T00:26:12Z,"italo dance,eurodance,europop,slap house","Hits Only",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
spotify:track:4nVyHATevhl5RC6Qmoko5H,"I Like It","Euphoria (Standard US/Latin version)","Enrique Iglesias;Pitbull",2010-01-01,231786,7,false,nlacasse,2020-10-02T00:26:21Z,"pop latino,latina","Universal Music Group International",0.646,0.94,10,-2.856,0,0.0838,0.0209,0,0.0691,0.704,129.011,4
spotify:track:4356Typ82hUiFAynbLYbPn,"DJ Got Us Fallin' In Love (feat. Pitbull)","Raymond v Raymond (Expanded Edition)","USHER;Pitbull",2010-03-30,220800,87,false,nlacasse,2020-10-02T00:26:56Z,"r&b","LaFace Records",0.663,0.861,7,-3.398,0,0.109,0.0338,0,0.082,0.654,119.963,4
spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,"Good Feeling","Wild Ones","Flo Rida",2012-06-22,248133,84,false,nlacasse,2020-10-02T00:27:13Z,"","Poe Boy/Atlantic",0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,4
spotify:track:0FDG4cOz8WiVTG8R5HBpL2,"Living On My Own","The Very Best of Freddie Mercury Solo: Lover of Life, Singer of Songs","Freddie Mercury",2006-09-04,218266,1,false,nlacasse,2020-10-02T00:27:40Z,"","Hollywood Records",0.642,0.669,9,-11.805,0,0.0342,0.00019,0.0000503,0.0832,0.467,123.907,4
spotify:track:1bOVoJ4rPzc8pDZkLk9JXY,"1-2-3! (Train With Me) - Radio Mix","1-2-3! (Train With Me)","Playahitty",1995-06-21,218333,52,false,nlacasse,2020-10-02T00:27:53Z,"eurodance","Conte Max Music",0.665,0.923,2,-6.272,1,0.033,0.00865,0.000498,0.301,0.84,143.881,4
spotify:track:70DbNpe8D1QnGi92Mo2MK1,"Close to You","Back to the Factory","Fun Factory",2016-08-05,218777,55,false,nlacasse,2020-10-02T00:28:06Z,"eurodance","Control",0.706,0.926,9,-3.192,0,0.127,0.00135,0,0.261,0.389,134.981,4
spotify:track:2hPOOLM9Oefyy43eAXR4Hf,"Total Eclipse Of The Heart - Dance Mix","Total Eclipse Of The Heart (Dance Mix)","Nicki French",2010-06-22,232346,41,false,nlacasse,2020-10-02T00:28:56Z,"eurodance","Razor & Tie",0.575,0.912,0,-7.039,1,0.0285,0.00463,0.0000601,0.352,0.591,135.988,4
spotify:track:60tsXfCcG6Ljxsr8whOXL5,"The Sound Of San Francisco - Progressive Album Mix","Network - taken from Superstar","Global Deejays",2005-06-27,224200,69,true,nlacasse,2020-10-02T00:29:20Z,"clásica electrónica","Superstar Recordings",0.694,0.823,6,-5.739,0,0.048,0.000573,0.00102,0.134,0.501,132.337,4
spotify:track:42MOQv8uspw7Jt6XSujAm7,"Life - Radio Edit","The Album","Haddaway",1993-09-13,257360,1,false,nlacasse,2020-10-02T00:29:48Z,"eurodance","Coconut Music",0.595,0.847,10,-8.495,1,0.0333,0.00601,0.445,0.215,0.596,128.479,4
spotify:track:0mtPNQl5vePVwiI9Vykp7L,"We Run The Night","We Run The Night","Havana Brown;Pitbull",2011-01-01,228200,59,true,nlacasse,2020-10-02T00:30:16Z,"","Universal Music Australia Pty. Ltd.",0.697,0.861,9,-4.389,0,0.144,0.00482,0.00000183,0.41,0.703,127.023,4
spotify:track:42nSaPdT6g3ZIMHmKLlP2p,"Let's Get Loud","On The 6","Jennifer Lopez",1999-06-01,239400,73,false,nlacasse,2020-10-02T00:30:29Z,"","Work",0.82,0.937,5,-4.81,0,0.0549,0.135,0.000122,0.35,0.906,130.992,4
spotify:track:469EB5bjTQIkBmMz1Lq5f7,"On The Floor","Divas Pop","Jennifer Lopez;Pitbull",2020-09-29,284866,1,false,nlacasse,2020-10-02T00:30:37Z,"","UME - Global Clearing House",0.73,0.775,3,-5.198,0,0.0482,0.106,0.000442,0.069,0.581,130.002,4
spotify:track:1bV3jw1mlVbPkzc9bCGCsl,"Ella Elle L A - Radio Version","Free","Kate Ryan",2008-01-01,184693,48,false,nlacasse,2020-10-02T00:30:43Z,"eurodance","ARS Entertainment N.V.",0.56,0.861,4,-4.383,0,0.033,0.00283,0.0000498,0.229,0.561,124.917,4
spotify:track:4HsvdyB7HDERx46V8Q8dV8,"Voyage voyage","Free","Kate Ryan",2008-01-01,184586,56,false,nlacasse,2020-10-02T00:30:51Z,"eurodance","ARS Entertainment N.V.",0.566,0.951,8,-3.197,0,0.0352,0.000926,0.000517,0.338,0.259,129.954,4
spotify:track:6SNcx71T1M7CkRCbswPtwj,"Désenchantée - Radio Mix","Désenchantée/U R (My Love)","Kate Ryan",2002,220533,0,false,nlacasse,2020-10-02T00:31:21Z,"eurodance","Robbins Entertainment LLC",0.514,0.936,1,-4.79,1,0.0664,0.146,0.000408,0.278,0.293,139.916,4
spotify:track:0v08KEGJSDkDRp1b4rLStv,"Toute Première Fois","Free","Kate Ryan",2008-01-01,245506,36,false,nlacasse,2020-10-02T00:31:35Z,"eurodance","ARS Entertainment N.V.",0.733,0.779,6,-5.573,0,0.0278,0.00584,0.323,0.215,0.533,126.975,4
spotify:track:1nInOsHbtotAmEOQhtvnzP,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,79,false,nlacasse,2020-10-02T00:32:26Z,"navidad","RCA Records Label",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
spotify:track:1bXYgyOLbtPUKqFcqrFlYY,"Can't Get You out of My Head - Extended Mix","Can't Get You out of My Head","Kylie Minogue",2001-09-08,359467,60,false,nlacasse,2020-10-02T00:33:03Z,"dance pop","Parlophone UK",0.771,0.564,9,-7.294,0,0.0354,0.0268,0.711,0.116,0.962,126.011,4
