Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3NEd95cTt10M4uzc5EAZlQ,"Last of Mohicans","Last of Mohicans","DJ Nano;Dany Bpm",2020-04-16,250489,39,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:22:03Z,"","Natas Records",0.281,0.832,2,-3.939,0,0.0383,0.00582,0.0000108,0.0719,0.0496,102.533,3
spotify:track:4oaZRvZMytQvISa6A0ZKx0,"Gladiator x Now We Are Free - Summer Version","Gladiator x Now We Are Free (Summer Version)","LABACK;Alexis Carlier",2024-05-10,219375,67,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:22:27Z,"","3023473 Records DK2",0.777,0.85,6,-5.662,0,0.0356,0.16,0.000965,0.0566,0.0744,128.036,4
spotify:track:6mnu1V8wlR473pMxUrNQUT,"Discotek People - Raga Edit","My Space (10Th Anniversary) (Pop Oriented)","Molella",2007-04-18,220656,42,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:23:11Z,"italo dance,eurodance","Do It Yourself",0.896,0.817,0,-8.47,1,0.0369,0.0769,0.0201,0.0432,0.819,135.004,4
spotify:track:3hWfKBt3n7j1xqIy6LA5ve,"Astronomia","Astronomia","Vicetone;Tony Igy",2016-09-16,198095,66,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:24:32Z,"edm","b1",0.653,0.945,5,-2.634,1,0.096,0.00561,0.915,0.439,0.326,126.093,4
spotify:track:5TZuixC0OvZXP2LwaltSvt,"Exhibition Only (Feat Life Of Pappa)","Exhibition Only (Feat Life Of Pappa)","Noise Cartel;Hans Glock",2024-03-15,195096,20,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:24:44Z,"hardstyle,hard techno,hardcore,gabber","Be Legendary",0.557,0.983,10,-1.347,0,0.1,0.00466,0.00303,0.355,0.172,154.991,4
spotify:track:1H5VQuShs4qfwBXyHF0PeH,"Narcotic - Radio Edit","Narcotic","Liquido",1998-07-10,236150,36,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:24:58Z,"","Liquido Music",0.617,0.607,1,-7.015,1,0.0231,0.000876,0.0701,0.0918,0.446,102.068,4
spotify:track:4B9FEh5bdfySN9wlTXHqJK,"Super (Riscaldamento)","Super","Gigi D'Agostino & Albertino;Albertino",2009-11-01,239053,45,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:25:10Z,"italo dance","ZYX Music / Media Records",0.828,0.914,11,-5.65,1,0.0702,0.0173,0.0373,0.127,0.562,133.993,4
spotify:track:1dxLYXCbQ7siwdXI4IPrWw,"Water Verve (Mixed) - DJ Quicksilver Remix","Trance Top 1000 - Mini Mix 010","Mark Van Dale;Enrico;DJ Quicksilver",2019-07-05,100874,46,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:25:21Z,"trance,holandesa,eurodance","Armada Music Albums",0.714,0.891,9,-8.775,1,0.0345,0.0145,0.903,0.207,0.79,133.346,4
spotify:track:0vZCG0H9KhtU7K8MEUVAoV,"Tsunami","Tsunami","DVBBS;Borgeous",2013-09-02,236706,69,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:25:36Z,"edm,big room,slap house,electrónica","Doorn Records",0.699,0.839,4,-5.353,0,0.0481,0.0483,0.655,0.0897,0.264,128.026,4
spotify:track:6r7FXNO57mlZCBY6PXcZZT,"Five Hours","Five Hours","Deorro",2014-10-14,326887,66,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:26:01Z,"melbourne bounce,electro house","Ultra Records, LLC",0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907,4
spotify:track:4TuNI3WEMyLQAKRMJmcQdA,"Narco","Narco","Blasterjaxx;Timmy Trumpet",2017-11-13,208634,66,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:26:19Z,"big room,edm,melbourne bounce","MAXXIMIZE",0.764,0.943,8,-4.047,1,0.0711,0.00784,0.104,0.0699,0.207,129.961,4
spotify:track:3rHxDEn7iVyRy4POwGOUy9,"Winter (Classical Techno)","Winter (Classical Techno)","Ardo;Jake Alva",2024-01-05,144966,56,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:26:38Z,"","CHAPTER EIGHT",0.555,0.942,5,-3.755,0,0.126,0.0615,0.818,0.0793,0.177,149.544,4
spotify:track:6KEBAGRMi221yIwmdDyYW9,"Radetzky-Marsch, Op. 228","25 Strauss Favorites","Johann Strauss II;Edouard Strauss Orchestra;Edouard Strauss",2015-08-14,178320,0,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T10:26:46Z,"clásica,orquestal","VOX",0.501,0.398,9,-17.965,1,0.0393,0.835,0.119,0.194,0.752,110.092,4
spotify:track:3AjSfp5FDvwtMU9XBsbS8j,"Push Up - Main Edit","Push Up (Main Edit)","Creeds",2023-03-31,139300,77,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:32:51Z,"techno,hipertechno,hard techno,tekno","Columbia/B1 Recordings",0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,4
spotify:track:6l514NhnJZJgHgYFeimsWs,"T.N.T. - Techno Remix","T.N.T. (Techno Remix)","Nic Johnston",2024-04-26,137473,61,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:32:55Z,"hipertechno,techno","Future House Cloud",0.755,0.858,10,-4.377,0,0.0822,0.00192,0.000713,0.0963,0.305,139.978,4
spotify:track:1QIAkKPzJ1OUg3YuSRoTdt,"So What","So What","Nic Johnston;ANLIL",2025-02-28,170495,61,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:01Z,"hipertechno,techno","Future House Cloud",0.537,0.906,9,-0.883,1,0.197,0.00797,0.0000127,0.139,0.386,154.943,4
spotify:track:3cqZlRpC4lOnxUE7HE3N5k,"Move Your Body - Gabry Ponte Original Radio Edit","Europop","Eiffel 65;Gabry Ponte",1999,268863,1,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:29Z,"italo dance,eurodance,europop,slap house","Hits Only",0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,4
spotify:track:6zW1hkLt5Yw4aWRDAOsDwU,"Time To Rock - Roberto Molinaro Radio Mix","Gabry Ponte","Gabry Ponte;Roberto Molinaro",2009-05-18,214798,48,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:42Z,"italo dance,slap house,acid techno,techno,hard techno","Hits Only",0.898,0.814,7,-7.167,1,0.0367,0.0494,0.0166,0.14,0.977,137.002,4
spotify:track:0lIjQwrL3MMKeIQUAOUYVC,"Desert of Love","Made in Italy","Molella",2004-06-27,260728,26,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:45Z,"italo dance,eurodance","Liquid Sound",0.692,0.93,3,-7.719,0,0.0388,0.0167,0.0148,0.116,0.375,136.987,4
spotify:track:5qF64CXSuIl3PZvW660aXg,"Bla Bla Bla","The Essential Gigi D\'Agostino","Gigi D'Agostino",2009-11-20,256133,48,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:52Z,"italo dance,eurodance","ZYX Music",0.811,0.824,3,-8.371,0,0.0839,0.0814,0.471,0.073,0.963,132.977,4
spotify:track:1SJ5qPR2v6Jztifxb4Ursl,"Moonlight Shadow","The Essential Gigi D\'Agostino","Gigi D'Agostino",2009-11-20,259279,48,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:56Z,"italo dance,eurodance","ZYX Music",0.781,0.703,1,-8.326,0,0.032,0.0414,0.0136,0.131,0.829,128.799,4
spotify:track:7oYfwE9BVRcOcKsgJDHJRC,"Elisir (essential)","The Essential Gigi D\'Agostino","Gigi D'Agostino",2009-11-20,149920,37,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:33:59Z,"italo dance,eurodance","ZYX Music",0.837,0.895,7,-8.455,0,0.0365,0.0399,0.00257,0.171,0.898,130.007,4
spotify:track:3Jq7QJtlaAjvXuEfsL9Q9j,"Braveheart 2013 - Dj Substance Remix","Braveheart 2013","DJ Sakin & Friends",2013-01-24,312041,37,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:34:15Z,"trance,eurodance","Clone 2.1 Records",0.646,0.793,2,-6.252,0,0.0381,0.000598,0.849,0.106,0.249,128.023,4
spotify:track:3wSrPtJpnGaUC2hOmJy0BV,"Beast (All as One)","Beast (All as One)","Dimitri Vegas & Like Mike;Ummet Ozcan;Brennan Heart;Dimitri Vegas",2019-11-15,189826,55,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:34:39Z,"big room,electrónica,edm,hardstyle,frenchcore,hardcore","Smash The House",0.333,0.985,5,-2.843,0,0.0563,0.0326,0.769,0.226,0.393,135.24,4
spotify:track:3uXzBSx2eMKRTEP46SZ2fC,"Rattle","Rattle","Bingo Players",2011-10-31,287183,69,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:34:41Z,"big room","Hysteria",0.744,0.957,7,-4.8,1,0.0519,0.00152,0.884,0.352,0.529,127.991,4
spotify:track:7fFlkS4JijAyCEm0cnp1My,"Beethoven Virus","Spatial Jaguar","SJ",2011-05-21,107190,44,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:35:16Z,"","SJ",0.412,0.964,9,-5.107,0,0.275,0.000143,0.939,0.105,0.355,162.097,4
spotify:track:0F3v8p8ZnEGtZDxNcJ5Klq,"Unstoppable - R3HAB Remix","Unstoppable (R3HAB Remix)","Sia;R3HAB",2022-07-08,162352,64,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:35:24Z,"slap house,edm","Monkey Puzzle Records/RCA Records",0.678,0.744,6,-4.058,0,0.234,0.495,0.0000235,0.0631,0.433,101.987,4
spotify:track:1dxLYXCbQ7siwdXI4IPrWw,"Water Verve (Mixed) - DJ Quicksilver Remix","Trance Top 1000 - Mini Mix 010","Mark Van Dale;Enrico;DJ Quicksilver",2019-07-05,100874,46,false,21ccj5pxwazjl6lctb5kboswq,2025-11-10T11:35:33Z,"trance,holandesa,eurodance","Armada Music Albums",0.714,0.891,9,-8.775,1,0.0345,0.0145,0.903,0.207,0.79,133.346,4
